----------------------  ------------  ------------  ------------  ------------  ------------  ------------  
                  Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg    # of Calls  
----------------------  ------------  ------------  ------------  ------------  ------------  ------------  
             aten::pow        50.25%      13.547ms        50.30%      13.561ms       1.695ms             8  
             aten::add        26.05%       7.022ms        26.05%       7.022ms       1.756ms             4  
          aten::argmax        21.68%       5.845ms        21.71%       5.853ms       1.463ms             4  
          aten::arange         0.28%      76.664us         0.53%     142.979us      17.872us             8  
           aten::index         0.28%      74.451us         0.46%     123.022us      30.755us             4  
          aten::select         0.26%      70.321us         0.29%      78.236us       9.779us             8  
    aten::view_as_real         0.20%      53.970us         0.20%      53.970us       6.746us             8  
      aten::as_strided         0.16%      43.150us         0.16%      43.150us       2.055us            21  
            aten::real         0.13%      35.637us         0.40%     107.903us      26.976us             4  
          aten::square         0.11%      28.735us        50.41%      13.590ms       1.699ms             8  
         aten::reshape         0.09%      24.447us         0.17%      45.817us       5.091us             9  
            aten::view         0.08%      21.370us         0.08%      21.370us       2.374us             9  
           aten::slice         0.08%      20.240us         0.10%      28.004us       5.601us             5  
          aten::detach         0.06%      14.887us         0.06%      14.887us       2.481us             6  
            aten::imag         0.06%      14.882us         0.28%      74.822us      18.706us             4  
              aten::to         0.04%      11.865us         0.04%      11.865us       0.913us            13  
         aten::resize_         0.04%       9.908us         0.04%       9.908us       2.477us             4  
             aten::cat         0.04%       9.607us         0.04%       9.607us       4.804us             2  
           aten::empty         0.03%       9.328us         0.03%       9.328us       2.332us             4  
     aten::result_type         0.03%       7.916us         0.03%       7.916us       0.989us             8  
           aten::split         0.03%       7.907us         0.11%      28.564us      28.564us             1  
          aten::narrow         0.03%       7.892us         0.08%      20.657us       5.164us             4  
    aten::resolve_conj         0.00%       1.262us         0.00%       1.262us       0.421us             3  
     aten::resolve_neg         0.00%       0.621us         0.00%       0.621us       0.207us             3  
----------------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 26.959ms
