index,psd,reference,boundary,stable,reference_edge,possible_min,possible_max,uncertainty_aware_comparison,old_edge,old_point_estimate_shift,current_edge,current_point_estimate_shift,ideal_public_rounding_edge,ideal_public_rounding_point_estimate_shift
4,original,input_power,2,True,37337,37337,37337,current_closer,37291,-46,37337,0,37337,0
4,original,input_power,3,True,45241,45241,45241,current_closer,45178,-63,45241,0,45241,0
4,original,input_power,4,True,53301,53301,53301,current_closer,53220,-81,53301,0,53301,0
4,original,input_power,5,True,63067,63067,63067,current_closer,62938,-129,63067,0,63067,0
4,original,input_power,6,True,75234,75234,75234,current_closer,75033,-201,75234,0,75234,0
4,original,input_power,7,True,92552,92552,92552,current_closer,92173,-379,92552,0,92552,0
4,original,input_power,8,True,121455,121455,121455,current_closer,120648,-807,121455,0,121455,0
4,original,input_power,9,True,257771,257771,257771,current_closer,245590,-12181,257771,0,257771,0
4,original,input_power,10,True,1008518,1008518,1008518,current_closer,1008831,313,1008518,0,1008518,0
4,original,input_power,11,True,1021456,1021456,1021456,current_closer,1021560,104,1021456,0,1021456,0
4,original,input_power,12,True,1029204,1029204,1029204,current_closer,1029265,61,1029204,0,1029204,0
4,original,input_power,13,True,1035080,1035080,1035080,current_closer,1035118,38,1035080,0,1035080,0
4,original,input_power,14,True,1039933,1039933,1039933,current_closer,1039954,21,1039933,0,1039933,0
4,original,input_power,15,True,1044397,1044397,1044397,current_closer,1044408,11,1044397,0,1044397,0
5,original,input_power,1,True,28445,28445,28445,current_closer,28426,-19,28445,0,28445,0
5,original,input_power,2,True,37455,37455,37455,current_closer,37411,-44,37455,0,37455,0
5,original,input_power,3,True,45402,45402,45402,current_closer,45344,-58,45402,0,45402,0
5,original,input_power,4,True,53526,53526,53526,current_closer,53441,-85,53526,0,53526,0
5,original,input_power,5,True,63451,63451,63451,current_closer,63312,-139,63451,0,63451,0
5,original,input_power,6,True,75821,75821,75821,current_closer,75612,-209,75821,0,75821,0
5,original,input_power,7,True,93545,93545,93545,current_closer,93185,-360,93545,0,93545,0
5,original,input_power,8,True,123730,123730,123730,current_closer,122846,-884,123730,0,123730,0
5,original,input_power,9,True,302156,302156,302156,current_closer,278507,-23649,302157,1,302157,1
5,original,input_power,10,True,1009520,1009520,1009520,current_closer,1009783,263,1009520,0,1009520,0
5,original,input_power,11,True,1021764,1021764,1021764,current_closer,1021875,111,1021764,0,1021764,0
5,original,input_power,12,True,1029382,1029382,1029382,current_closer,1029441,59,1029382,0,1029382,0
5,original,input_power,13,True,1035195,1035195,1035195,current_closer,1035236,41,1035195,0,1035195,0
5,original,input_power,14,True,1039992,1039992,1039992,current_closer,1040011,19,1039992,0,1039992,0
5,original,input_power,15,True,1044430,1044430,1044430,current_closer,1044441,11,1044430,0,1044430,0
6,original,input_power,1,True,28527,28527,28527,current_closer,28509,-18,28527,0,28527,0
6,original,input_power,2,True,37613,37613,37613,current_closer,37581,-32,37613,0,37613,0
6,original,input_power,3,True,45646,45646,45646,current_closer,45589,-57,45646,0,45646,0
6,original,input_power,4,True,53878,53878,53878,current_closer,53801,-77,53878,0,53878,0
6,original,input_power,5,True,64045,64045,64045,current_closer,63908,-137,64045,0,64045,0
