cohort,scheme,segment_length,n,cases,templates,segments_per_template,fft_samples,valid_data_seconds,total_template_seconds,start_pad,end_pad,allocated_cpu_cores,source_phase,source_commit,wall_seconds_median,wall_seconds_min,wall_seconds_max,templates_per_core_at_real_time_median,templates_per_core_at_real_time_min,templates_per_core_at_real_time_max,internal_runtime_seconds_median,internal_runtime_seconds_min,internal_runtime_seconds_max,internal_setup_seconds_median,internal_setup_seconds_min,internal_setup_seconds_max,internal_postsetup_seconds_median,internal_postsetup_seconds_min,internal_postsetup_seconds_max,peak_rss_mib_median,peak_rss_mib_min,peak_rss_mib_max,capacity_ratio_to_normal_cpu
tuning,cpu:1,256,3,"[""tune-precision5-cpu-l256-r1"",""tune-precision5-cpu-l256-r2"",""tune-precision5-cpu-l256-r3""]",96,15,1048576,1904,182784,112,16,1,precision,837f38d493420043e45fb1ad210a0ccf68bacbaa,34.5539336730144,34.48284510400845,34.68851129303221,5289.817412098261,5269.29502554684,5300.722705701344,30.03961443901062,29.97777485847473,30.192585945129395,15.364404678344728,15.363353490829468,15.38273763656616,14.65687680244446,14.614421367645264,14.828181266784666,1204.64453125,1204.63671875,1204.65625,
tuning,cpu:1,512,3,"[""tune-precision5-cpu-l512-r1"",""tune-precision5-cpu-l512-r2"",""tune-precision5-cpu-l512-r3""]",96,5,2097152,1904,182784,112,16,1,precision,837f38d493420043e45fb1ad210a0ccf68bacbaa,32.33664120698813,32.31068990501808,32.37408933398547,5652.535117360901,5645.996652270869,5657.075120875471,27.833372354507446,27.821763515472412,27.878557920455933,15.308806896209719,15.265840053558348,15.323800563812254,12.554757356643679,12.524565458297728,12.555923461914064,1204.671875,1204.66015625,1204.70703125,
tuning,cpu:1,1024,3,"[""tune-precision5-cpu-l1024-r1"",""tune-precision5-cpu-l1024-r2"",""tune-precision5-cpu-l1024-r3""]",96,3,4194304,1904,182784,112,16,1,precision,837f38d493420043e45fb1ad210a0ccf68bacbaa,38.79046103800647,38.709411565971095,38.849843858974054,4712.08629928142,4704.883774141041,4721.95242979831,34.25386333465576,34.20849323272705,34.329872131347656,16.04975199699402,16.027427434921265,16.094849109649658,18.226435899734497,18.158741235733032,18.235023021697998,1272.8671875,1272.03125,1279.26171875,
matched,cpu:1,512,3,"[""matched-precision5-cpu-l512-r1"",""matched-precision5-cpu-l512-r2"",""matched-precision5-cpu-l512-r3""]",96,5,2097152,1904,182784,112,16,1,precision,837f38d493420043e45fb1ad210a0ccf68bacbaa,32.313625084992964,32.30126148002455,32.3467580860015,5656.561265386725,5650.767211787516,5658.726366245343,27.81991744041443,27.817997217178345,27.820918083190918,15.287514209747314,15.269769191741945,15.313460350036621,12.53048300743103,12.506457090377808,12.551148891448973,1204.65234375,1204.6328125,1204.84765625,1.0
matched,torch:cpu:1,512,3,"[""matched-precision5-torch-cpu-l512-r1"",""matched-precision5-torch-cpu-l512-r2"",""matched-precision5-torch-cpu-l512-r3""]",96,5,2097152,1904,182784,112,16,1,precision,837f38d493420043e45fb1ad210a0ccf68bacbaa,80.62809046503389,79.10774427303113,80.72464106802363,2267.0014748677227,2264.2900306732213,2310.5702441614617,76.05923891067505,74.55621695518494,76.15410494804382,15.136252641677855,15.081036567687988,15.18839359283447,60.870845317840576,59.47518038749695,61.01785230636597,1236.62109375,1229.1953125,1244.390625,0.40077378614102815
matched,torch:cuda:0,512,3,"[""matched-precision5-torch-cuda-l512-r1"",""matched-precision5-torch-cuda-l512-r2"",""matched-precision5-torch-cuda-l512-r3""]",96,5,2097152,1904,182784,112,16,1,precision,837f38d493420043e45fb1ad210a0ccf68bacbaa,20.335830108029768,20.280547540984116,20.348598457989283,8988.273359336645,8982.63339253398,9012.774415021064,15.669369220733643,15.635687112808228,15.686301708221436,13.394274234771729,13.391310691833496,13.420965433120728,2.2653362751007085,2.2414128780364986,2.2780585289001465,1468.84765625,1467.87890625,1468.98828125,1.5889995595622952
