shape,dtype,npoints,numpy_vs_malloc1,numpy_vs_malloc,numpy_vs_cache,numpy_vs_base
short,complex64,1,1.0391078623724026,1.1086188982339924,1.018312210162935,1.2109073512283344
short,complex64,2,1.0366620215365125,0.959905378180608,1.0084335120746035,1.2489999076167384
short,complex64,5,1.0359308748653575,1.1499924482119857,1.0122203406192931,1.6149364032421767
short,complex128,1,1.050229907658799,1.1757287205112517,1.0257844600445893,1.2057520106901076
short,complex128,2,1.07345287134888,1.0652802538925228,1.0232344037001717,1.1122612430241998
short,complex128,5,1.0560458398530954,1.2925036437003057,1.0121797120370986,1.304272248530781
uniform,complex64,1,0.9999907084620531,1.227719213040312,0.9992152600733418,1.2207481217984324
uniform,complex64,2,0.9991862086688741,1.0056036488604512,0.9994272270123461,1.416617988849068
uniform,complex64,5,0.9912846908519665,1.2738089957734688,1.0009122391415768,2.043018534008752
uniform,complex128,1,1.003638661433548,1.4452630114374634,0.998132739389933,1.3942664161567815
uniform,complex128,2,1.0042558138334594,1.0530244574499226,1.003003142516274,1.0864026547145704
uniform,complex128,5,1.0001729561081485,1.407887689967277,0.9997646440482515,1.3815560737197348
captured,complex64,1,1.00027402982052,1.3450925005741925,1.0004629338650588,1.3276567609955892
captured,complex64,2,0.99961214354066,1.0054995378634428,0.9997529837275355,1.4160674355234295
captured,complex64,5,0.9913549720575922,1.2731371311839508,1.0003135216093058,1.937046375468102
captured,complex128,1,1.003412820528933,1.44251902763096,1.000282968387055,1.395476660505865
captured,complex128,2,1.0043111450978093,1.0512116402138514,1.0028926881234412,1.0844595840601747
captured,complex128,5,1.0010500616439029,1.4087272237962858,1.0007702554671016,1.3821378164097025
wide,complex64,1,1.0001849582102127,1.0431991647035923,1.0001577293873463,1.0347508563242696
wide,complex64,2,0.9991076162256224,1.00524969384661,0.9998188039297301,1.4152374065352917
wide,complex64,5,0.9908262279695083,1.2732694628134285,0.9995377001167425,2.0434045723642225
wide,complex128,1,1.0041674764682151,1.4364533640572312,1.002020874790367,0.8512560327472815
wide,complex128,2,1.003731909374758,1.0519541781433617,1.0026157650315304,1.0837048185038551
wide,complex128,5,0.9997756352732009,1.407660081809965,1.0001494170896224,1.3825588974848624
