-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                        cudaMemcpyAsync        40.79%       7.576ms        40.79%       7.576ms       3.788ms       0.000us         0.00%       0.000us       0.000us             2  
                                            aten::slice        19.65%       3.650ms        24.21%       4.497ms       4.126us       0.000us         0.00%       0.000us       0.000us          1090  
                                Activity Buffer Request        16.15%       2.999ms        16.15%       2.999ms       2.999ms       1.128ms         9.02%       1.128ms       1.128ms             1  
                                       aten::as_strided         4.73%     878.452us         4.73%     878.452us       0.780us       0.000us         0.00%       0.000us       0.000us          1126  
                                         aten::_fft_c2c         4.36%     809.805us        13.01%       2.417ms      75.518us       3.720ms        29.74%       4.811ms     150.356us            32  
                                         cuLaunchKernel         2.39%     443.193us         2.39%     443.193us       6.925us       0.000us         0.00%       0.000us       0.000us            64  
                                            aten::empty         2.07%     384.781us         2.07%     384.781us       5.920us       0.000us         0.00%       0.000us       0.000us            65  
                                       cudaLaunchKernel         1.97%     366.437us         1.97%     366.437us       7.797us       0.000us         0.00%       0.000us       0.000us            47  
                                              aten::mul         1.78%     329.917us         3.33%     617.956us      18.726us       2.277ms        18.20%       3.474ms     105.271us            33  
                                              aten::cat         1.23%     227.619us        17.81%       3.308ms       3.308ms       1.128ms         9.02%       2.256ms       2.256ms             1  
                                            aten::index         0.73%     135.395us         0.83%     154.511us     154.511us       5.600us         0.04%       5.600us       5.600us             1  
                                            aten::stack         0.72%     133.642us        18.55%       3.445ms       3.445ms       0.000us         0.00%       2.256ms       2.256ms             1  
                                         aten::fft_ifft         0.53%      97.774us        13.54%       2.514ms      78.573us       0.000us         0.00%       4.811ms     150.356us            32  
                                          aten::permute         0.51%      94.019us         0.61%     113.874us       3.559us       0.000us         0.00%       0.000us       0.000us            32  
                                          aten::reshape         0.35%      65.928us         0.51%      95.590us       2.731us       0.000us         0.00%       0.000us       0.000us            35  
                                      aten::as_strided_         0.27%      49.714us         0.27%      49.714us       1.554us       0.000us         0.00%       0.000us       0.000us            32  
                                            aten::copy_         0.22%      41.789us        41.12%       7.638ms       2.546ms       1.200ms         9.60%       1.200ms     400.128us             3  
                                             aten::view         0.21%      38.238us         0.21%      38.238us       1.006us       0.000us         0.00%       0.000us       0.000us            38  
                                    aten::empty_strided         0.18%      34.214us         0.18%      34.214us      11.405us       0.000us         0.00%       0.000us       0.000us             3  
                                           aten::arange         0.17%      31.029us         0.49%      90.500us      45.250us       1.249us         0.01%       2.498us       1.249us             2  
                                              aten::pow         0.16%      29.966us         0.25%      47.339us      47.339us       2.057ms        16.45%       2.057ms       2.057ms             1  
                                              aten::sum         0.14%      25.157us         0.20%      36.258us      36.258us       1.593ms        12.74%       1.593ms       1.593ms             1  
                                          aten::resize_         0.13%      23.987us         0.13%      23.987us       0.727us       0.000us         0.00%       0.000us       0.000us            33  
                                           aten::argmax         0.12%      22.662us         0.18%      32.842us      32.842us     525.762us         4.20%     525.762us     525.762us             1  
                                            aten::clone         0.09%      15.820us         0.38%      69.822us      69.822us       0.000us         0.00%       1.197ms       1.197ms             1  
                                         aten::_to_copy         0.07%      13.505us        41.09%       7.632ms       3.816ms       0.000us         0.00%       3.135us       1.567us             2  
                                     aten::view_as_real         0.06%      10.350us         0.06%      10.350us      10.350us       0.000us         0.00%       0.000us       0.000us             1  
                                  cudaDeviceSynchronize         0.05%       9.508us         0.05%       9.508us       4.754us       0.000us         0.00%       0.000us       0.000us             2  
                                               aten::to         0.04%       8.145us        41.13%       7.640ms       1.528ms       0.000us         0.00%       3.135us       0.627us             5  
                                  cudaStreamSynchronize         0.04%       6.823us         0.04%       6.823us       3.412us       0.000us         0.00%       0.000us       0.000us             2  
                                            aten::split         0.03%       4.719us         0.06%      11.993us      11.993us       0.000us         0.00%       0.000us       0.000us             1  
                                           aten::detach         0.02%       4.638us         0.02%       4.638us       1.159us       0.000us         0.00%       0.000us       0.000us             4  
                                           aten::narrow         0.02%       3.947us         0.04%       7.274us       7.274us       0.000us         0.00%       0.000us       0.000us             1  
                                           aten::square         0.02%       3.898us         0.28%      51.237us      51.237us       0.000us         0.00%       2.057ms       2.057ms             1  
                                  cudaStreamIsCapturing         0.01%       2.345us         0.01%       2.345us       1.173us       0.000us         0.00%       0.000us       0.000us             2  
                                      aten::result_type         0.01%       0.962us         0.01%       0.962us       0.962us       0.000us         0.00%       0.000us       0.000us             1  
                                     aten::resolve_conj         0.00%       0.841us         0.00%       0.841us       0.421us       0.000us         0.00%       0.000us       0.000us             2  
                                      aten::resolve_neg         0.00%       0.290us         0.00%       0.290us       0.145us       0.000us         0.00%       0.000us       0.000us             2  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us       1.128ms         9.02%       1.128ms     141.021us             8  
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.197ms         9.57%       1.197ms       1.197ms             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 18.574ms
Self CUDA time total: 12.508ms
