-----------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
                         Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg    # of Calls  
-----------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
                    aten::mul        30.92%     640.971ms        30.93%     641.142ms       1.728ms           371  
                    aten::add        23.93%     496.011ms        23.93%     496.011ms       3.100ms           160  
                    aten::exp         8.68%     180.004ms         8.68%     180.004ms      60.001ms             3  
                    aten::pow         7.48%     155.095ms         7.48%     155.119ms       9.695ms            16  
                  aten::where         4.80%      99.525ms         4.80%      99.545ms       9.050ms            11  
                    aten::cat         4.57%      94.752ms         4.58%      94.873ms       8.625ms            11  
                  aten::copy_         4.29%      88.957ms         4.29%      88.957ms       7.413ms            12  
                  aten::fill_         4.18%      86.742ms         4.18%      86.742ms       7.228ms            12  
                aten::addcmul         3.46%      71.745ms         3.46%      71.745ms       2.391ms            30  
                    aten::sub         2.89%      59.914ms         2.89%      59.914ms       1.664ms            36  
                    aten::neg         2.24%      46.495ms         2.24%      46.495ms       9.299ms             5  
                    aten::log         1.78%      36.848ms         1.78%      36.848ms       6.141ms             6  
                    aten::div         0.21%       4.269ms         0.21%       4.269ms     129.352us            33  
                     aten::lt         0.18%       3.677ms         0.18%       3.685ms     921.258us             4  
                     aten::ge         0.17%       3.461ms         0.17%       3.496ms     699.196us             5  
                 aten::select         0.04%     856.385us         0.05%       1.002ms      10.437us            96  
            aten::bitwise_and         0.02%     396.969us         0.02%     396.969us      44.108us             9  
                    aten::abs         0.01%     309.047us         0.02%     516.996us       5.385us            96  
            aten::bitwise_not         0.01%     259.471us         0.01%     259.471us       3.460us            75  
             aten::as_strided         0.01%     250.381us         0.01%     250.381us       1.118us           224  
                     aten::eq         0.01%     212.474us         0.01%     212.474us       3.125us            68  
                 aten::expand         0.01%     203.837us         0.01%     249.510us       2.835us            88  
              aten::unsqueeze         0.01%     203.346us         0.01%     244.901us      12.890us            19  
                     aten::ne         0.01%     198.322us         0.01%     198.322us       4.132us            48  
          aten::empty_strided         0.01%     198.143us         0.01%     198.143us       8.615us            23  
               aten::isfinite         0.01%     195.950us         0.05%     983.422us      20.488us            48  
               aten::_to_copy         0.01%     131.227us         4.30%      89.219ms       7.435ms            12  
                  aten::empty         0.00%      74.210us         0.00%      74.210us       1.076us            69  
                     aten::to         0.00%      67.942us         4.31%      89.287ms     901.885us            99  
                aten::nonzero         0.00%      67.378us         0.00%      81.774us      13.629us             6  
                     aten::gt         0.00%      66.356us         0.00%      66.356us       4.740us            14  
                  aten::slice         0.00%      58.465us         0.00%      75.243us       3.762us            20  
           aten::broadcast_to         0.00%      56.200us         0.01%     178.018us       3.709us            48  
                  aten::stack         0.00%      54.735us         0.03%     539.480us      59.942us             9  
                 aten::narrow         0.00%      45.973us         0.01%     121.216us       6.061us            20  
-----------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 2.073s
