-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                       cudaLaunchKernel        21.42%       5.734ms        21.42%       5.734ms       6.487us       0.000us         0.00%       0.000us       0.000us           884  
                                  cudaDeviceSynchronize        16.97%       4.544ms        16.97%       4.544ms       2.272ms       0.000us         0.00%       0.000us       0.000us             2  
                                              aten::mul        12.48%       3.342ms        19.73%       5.281ms      17.092us       1.958ms        24.32%       1.958ms       6.337us           309  
                                Activity Buffer Request        10.85%       2.903ms        10.85%       2.903ms       2.903ms       0.608us         0.01%       0.608us       0.608us             1  
                                              aten::add         4.07%       1.089ms         6.41%       1.716ms      17.158us     431.418us         5.36%     431.418us       4.314us           100  
                                      aten::bitwise_not         2.81%     751.314us         4.40%       1.177ms      15.693us      73.443us         0.91%      73.443us       0.979us            75  
                                              aten::abs         2.70%     721.942us         9.53%       2.551ms      26.573us      62.879us         0.78%     125.758us       1.310us            96  
                                               aten::eq         2.67%     713.850us         4.19%       1.122ms      16.503us     100.704us         1.25%     100.704us       1.481us            68  
                                               aten::ne         2.26%     604.436us         3.34%     894.986us      18.646us      71.267us         0.89%      71.267us       1.485us            48  
                                         aten::isfinite         1.74%     464.758us        16.50%       4.418ms      92.035us       0.000us         0.00%     253.763us       5.287us            48  
                                              aten::sub         1.51%     405.397us         2.37%     634.116us      17.614us     387.039us         4.81%     387.039us      10.751us            36  
                                              aten::div         1.40%     373.549us         2.20%     590.122us      17.882us     141.819us         1.76%     141.819us       4.298us            33  
                                          aten::addcmul         1.37%     365.646us         2.16%     577.575us      19.252us       1.338ms        16.62%       1.338ms      44.612us            30  
                                            aten::empty         1.19%     317.381us         1.19%     317.381us       5.038us       0.000us         0.00%       0.000us       0.000us            63  
                                          aten::nonzero         1.08%     290.036us         2.27%     607.192us     101.199us      34.432us         0.43%      34.432us       5.739us             6  
                                              aten::pow         1.00%     267.792us         1.50%     400.835us      25.052us       1.399ms        17.37%       1.399ms      87.410us            16  
                                          aten::resize_         1.00%     267.281us         1.00%     267.281us       4.050us       0.000us         0.00%       0.000us       0.000us            66  
                                           aten::expand         0.98%     262.753us         1.20%     321.194us       3.650us       0.000us         0.00%       0.000us       0.000us            88  
                                        cudaMemcpyAsync         0.84%     225.346us         0.84%     225.346us       9.389us       0.000us         0.00%       0.000us       0.000us            24  
                                    aten::empty_strided         0.81%     216.987us         0.81%     216.987us       6.781us       0.000us         0.00%       0.000us       0.000us            32  
                                               aten::gt         0.78%     208.515us         1.16%     310.726us      22.195us      20.926us         0.26%      20.926us       1.495us            14  
                                              aten::cat         0.75%     201.606us         1.42%     380.935us      34.630us     313.538us         3.89%     313.538us      28.503us            11  
                                            aten::where         0.66%     176.112us         1.39%     371.601us      33.782us     454.915us         5.65%     454.915us      41.356us            11  
                                           aten::select         0.61%     163.033us         0.75%     199.671us       5.546us       0.000us         0.00%       0.000us       0.000us            36  
                                         aten::_to_copy         0.54%     143.233us        13.08%       3.502ms     166.774us       0.000us         0.00%     195.583us       9.313us            21  
                                            aten::copy_         0.53%     140.674us        12.02%       3.217ms     153.196us     194.975us         2.42%     195.583us       9.313us            21  
                                       aten::as_strided         0.52%     138.549us         0.52%     138.549us       0.882us       0.000us         0.00%       0.000us       0.000us           157  
                                      aten::bitwise_and         0.43%     116.288us         0.66%     175.642us      19.516us      11.584us         0.14%      11.584us       1.287us             9  
                                            aten::clamp         0.40%     107.174us         0.57%     153.169us      25.528us       9.312us         0.12%       9.312us       1.552us             6  
                                               aten::to         0.35%      92.679us        13.43%       3.595ms      39.505us       0.000us         0.00%     195.583us       2.149us            91  
                                     aten::broadcast_to         0.31%      83.336us         1.02%     272.152us       5.670us       0.000us         0.00%       0.000us       0.000us            48  
                                            aten::stack         0.30%      79.843us         1.59%     424.440us      47.160us       0.000us         0.00%      14.017us       1.557us             9  
                                        aten::unsqueeze         0.29%      76.978us         0.39%     104.508us       5.500us       0.000us         0.00%       0.000us       0.000us            19  
                                            aten::fill_         0.29%      76.682us         0.61%     162.904us      13.575us     128.352us         1.59%     128.352us      10.696us            12  
                                  cudaStreamSynchronize         0.28%      74.379us         0.28%      74.379us       3.915us       0.000us         0.00%       0.000us       0.000us            19  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 26.768ms
Self CUDA time total: 8.051ms
