# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 20K of event 'cycles:u' (time slices: 548515.257522922,548616.782023100)
# Event count (approx.): 265145572344
#
# Overhead  Command  Shared Object                                          Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
# ........  .......  .....................................................  ...............................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
     0.01%  python   libtorch_cpu.so                                        [.] c10::impl::wrap_kernel_functor_unboxed_<c10::impl::detail::WrapFunctionIntoFunctor_<c10::CompileTimeFunctionPointer<at::Tensor& (at::Tensor&, at::Tensor const&), &at::(anonymous namespace)::wrapper_CPU_mul__Tensor>, at::Tensor&, c10::guts::typelist::typelist<at::Tensor&, at::Tensor const&> >, at::Tensor& (at::Tensor&, at::Tensor const&)>::call(c10::OperatorKernel*, c10::DispatchKeySet, at::Tensor&, at::Tensor const&)
     0.01%  python   libtorch_cpu.so                                        [.] at::(anonymous namespace)::structured_sum_out_functional::set_output_raw_strided(long, c10::ArrayRef<long>, c10::ArrayRef<long>, c10::TensorOptions)
     0.01%  python   python3.11                                             [.] type_getattro
     0.01%  python   [unknown]                                              [k] 0xffffffff8520fbba
     0.01%  python   simd_threshold_cython.cpython-311-x86_64-linux-gnu.so  [.] _parallel_thresh_cluster(std::complex<float>*, unsigned int, std::complex<float>*, unsigned int*, float, unsigned int, unsigned int) [clone ._omp_fn.0]
     0.01%  python   libtorch_cpu.so                                        [.] at::native::structured_pow_Tensor_Scalar_out::impl(at::Tensor const&, c10::Scalar const&, at::Tensor const&)
     0.01%  python   libtorch_python.so                                     [.] torch::detail::(anonymous namespace)::ConcretePyInterpreterVTable::decref(_object*) const
     0.01%  python   libtorch_cpu.so                                        [.] at::OperandInfo::tensor(c10::MaybeOwned<at::TensorBase>&&)
     0.01%  python   libtorch_cpu.so                                        [.] at::native::lift_fresh(at::Tensor const&)
     0.01%  python   libtorch_cpu.so                                        [.] at::native::update_result_type_state(at::Tensor const&, at::native::ResultTypeState const&)
     0.01%  python   libtorch_cpu.so                                        [.] c10::impl::wrap_kernel_functor_unboxed_<c10::impl::detail::WrapFunctionIntoFunctor_<c10::CompileTimeFunctionPointer<at::Tensor (c10::ArrayRef<c10::SymInt>, c10::ArrayRef<c10::SymInt>, std::optional<c10::ScalarType>, std::optional<c10::Layout>, std::optional<c10::Device>, std::optional<bool>), &at::(anonymous namespace)::(anonymous namespace)::wrapper_CPU__empty_strided>, at::Tensor, c10::guts::typelist::typelist<c10::ArrayRef<c10::SymInt>, c10::ArrayRef<c10::SymInt>, std::optional<c10::ScalarType>, std::optional<c10::Layout>, std::optional<c10::Device>, std::optional<bool> > >, at::Tensor (c10::ArrayRef<c10::SymInt>, c10::ArrayRef<c10::SymInt>, std::optional<c10::ScalarType>, std::optional<c10::Layout>, std::optional<c10::Device>, std::optional<bool>)>::call(c10::OperatorKernel*, c10::DispatchKeySet, c10::ArrayRef<c10::SymInt>, c10::ArrayRef<c10::SymInt>, std::optional<c10::ScalarType>, std::optional<c10::Layout>, std::optional<c10::Device>, std::optional<bool>)
     0.01%  python   python3.11                                             [.] PyObject_Free
     0.01%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] _aligned_cast_float_to_double
     0.01%  python   libc10.so                                              [.] c10::intrusive_ptr<c10::StorageImpl, c10::detail::intrusive_target_default_null_type<c10::StorageImpl> >::reset_not_null_(c10::StorageImpl*)
     0.01%  python   libtorch_cpu.so                                        [.] std::vector<c10::SymInt, std::allocator<c10::SymInt> >::~vector()
     0.01%  python   python3.11                                             [.] PyObject_CallMethod
     0.01%  python   python3.11                                             [.] PyObject_Format
     0.01%  python   libtorch_cpu.so                                        [.] at::_ops::div_Tensor::call(at::Tensor const&, at::Tensor const&)
     0.01%  python   python3.11                                             [.] PyObject_GenericGetDict
     0.01%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] should_use_min_scalar
     0.01%  python   libc.so.6                                              [.] tzset_internal
     0.01%  python   libc10.so                                              [.] c10::memoryProfilingEnabled()
     0.01%  python   python3.11                                             [.] PyDict_New
     0.01%  python   libc.so.6                                              [.] wcsftime
     0.01%  python   python3.11                                             [.] PyNumber_Long
     0.01%  python   libc.so.6                                              [.] __libc_scratch_buffer_set_array_size
     0.01%  python   libtorch_python.so                                     [.] torch::autograd::THPVariable_add_(_object*, _object*, _object*)
     0.01%  python   libtorch_python.so                                     [.] std::optional<c10::SymInt>::optional<c10::SymInt&, true>(c10::SymInt&)
     0.01%  python   libstdc++.so.6.0.32                                    [.] std::num_get<char, std::istreambuf_iterator<char, std::char_traits<char> > > const* std::__try_use_facet<std::num_get<char, std::istreambuf_iterator<char, std::char_traits<char> > > >(std::locale const&)
     0.01%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] _convert_from_any.part.0
     0.01%  python   libstdc++.so.6.0.32                                    [.] std::ios_base::ios_base()
     0.01%  python   libtorch_python.so                                     [.] torch::utils::aten_to_numpy_dtype(c10::ScalarType)
     0.01%  python   libtorch_cpu.so                                        [.] at::TensorIteratorBase::numel() const
     0.01%  python   libtorch_cpu.so                                        [.] at::native::structured_div_out::impl(at::Tensor const&, at::Tensor const&, at::Tensor const&)
     0.01%  python   libtorch_cpu.so                                        [.] at::native::set_storage_cpu_(at::Tensor&, c10::Storage, long, c10::ArrayRef<long>, c10::ArrayRef<long>)
     0.01%  python   libtorch_python.so                                     [.] torch::check_has_torch_function(_object*, bool) [clone .constprop.0]
     0.01%  python   libtorch_python.so                                     [.] torch::autograd::THPVariable_set_(_object*, _object*, _object*)
     0.01%  python   python3.11                                             [.] PyTraceBack_Here
     0.01%  python   libtorch_cpu.so                                        [.] void at::native::checkAsStridedArgs<long>(c10::ArrayRef<long>, c10::ArrayRef<long>, long) [clone .isra.0]
     0.01%  python   python3.11                                             [.] PyUnicode_Partition
     0.01%  python   libc10.so                                              [.] c10::TensorImpl::~TensorImpl()
     0.01%  python   libtorch_cpu.so                                        [.] torch::autograd::ForwardGrad::undef_grad()
     0.01%  python   python3.11                                             [.] _PyObject_Malloc
     0.01%  python   python3.11                                             [.] PyObject_IsInstance
     0.01%  python   python3.11                                             [.] PyMember_SetOne
     0.01%  python   python3.11                                             [.] PyThread_acquire_lock_timed
     0.01%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] PyArray_EquivTypes
     0.01%  python   python3.11                                             [.] PyBool_FromLong
     0.01%  python   python3.11                                             [.] ensure_unicode
     0.01%  python   python3.11                                             [.] binary_op
     0.01%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] PyArray_GetCastInfo
     0.01%  python   libtorch_cpu.so                                        [.] at::TensorIteratorBase::fast_set_up(at::TensorIteratorConfig const&)
     0.01%  python   libtorch_cpu.so                                        [.] at::_ops::set__source_Storage_storage_offset::call(at::Tensor&, c10::Storage, c10::SymInt, c10::ArrayRef<c10::SymInt>, c10::ArrayRef<c10::SymInt>)
     0.01%  python   python3.11                                             [.] object_get_class
     0.01%  python   [unknown]                                              [k] 0xffffffff8549af68
     0.01%  python   python3.11                                             [.] cfunction_vectorcall_NOARGS
     0.01%  python   python3.11                                             [.] va_build_value
     0.01%  python   python3.11                                             [.] long_to_decimal_string_internal
     0.01%  python   python3.11                                             [.] PyMem_Malloc
     0.01%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] PyArray_DiscoverDTypeAndShape_Recursive
     0.01%  python   python3.11                                             [.] _PyInterpreterFrame_GetLine
     0.01%  python   libtorch_python.so                                     [.] torch::tensors::get_default_scalar_type()
     0.01%  python   libtorch_python.so                                     [.] PyEval_AcquireThread@plt
     0.01%  python   libc10.so                                              [.] c10::NUMAMove(void*, unsigned long, int)
     0.01%  python   libtorch_cpu.so                                        [.] at::detail::empty_cpu(c10::ArrayRef<long>, c10::ScalarType, bool, std::optional<c10::MemoryFormat>)
     0.01%  python   python3.11                                             [.] _PyObject_GC_Resize
     0.01%  python   _datetime.cpython-311-x86_64-linux-gnu.so              [.] timezone_dst
     0.01%  python   simd_threshold_cython.cpython-311-x86_64-linux-gnu.so  [.] _windowed_max(std::complex<float>*, long, std::complex<float>*, float*, long*, long, long)
     0.01%  python   libc.so.6                                              [.] _int_memalign
     0.01%  python   python3.11                                             [.] builtin_callable
     0.01%  python   libhdf5.so.1000.0.0                                    [.] H5Oopen
     0.01%  python   python3.11                                             [.] PyObject_IsTrue
     0.01%  python   libc.so.6                                              [.] memcpy@GLIBC_2.2.5
     0.01%  python   _datetime.cpython-311-x86_64-linux-gnu.so              [.] local_timezone_from_timestamp
     0.01%  python   libtorch_cpu.so                                        [.] at::native::to(at::Tensor const&, c10::Device, c10::ScalarType, bool, bool, std::optional<c10::MemoryFormat>)
     0.01%  python   libc.so.6                                              [.] _mid_memalign.isra.0
     0.01%  python   libtorch_cpu.so                                        [.] c10::TensorImpl::set_sizes_and_strides(c10::ArrayRef<long>, c10::ArrayRef<long>, std::optional<long>) [clone .isra.0]
     0.01%  python   python3.11                                             [.] PyBytes_FromStringAndSize
     0.01%  python   python3.11                                             [.] _PyUnicode_JoinArray
     0.01%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] PyArray_ExtractDTypeAndDescriptor
     0.01%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] _get_cast_safety_from_castingimpl
     0.01%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] scalar_value
     0.01%  python   libtorch_python.so                                     [.] torch::PythonArgs::toBool(int)
     0.01%  python   python3.11                                             [.] PyMemoryView_FromBuffer
     0.01%  python   python3.11                                             [.] unicodekeys_lookup_unicode
     0.01%  python   [unknown]                                              [k] 0xffffffff86401647
     0.01%  python   libtorch_cpu.so                                        [.] at::native::_to_copy(at::Tensor const&, std::optional<c10::ScalarType>, std::optional<c10::Layout>, std::optional<c10::Device>, std::optional<bool>, bool, std::optional<c10::MemoryFormat>)
     0.01%  python   python3.11                                             [.] method_vectorcall_VARARGS
     0.01%  python   python3.11                                             [.] cfunction_vectorcall_O
     0.01%  python   python3.11                                             [.] func_descr_get
     0.01%  python   libtorch_python.so                                     [.] c10::intrusive_ptr<c10::TensorImpl, c10::UndefinedTensorImpl>::retain_()
     0.01%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] _strided_to_strided_field_transfer
     0.01%  python   libtorch_cpu.so                                        [.] c10::impl::make_boxed_from_unboxed_functor<c10::impl::detail::WrapFunctionIntoFunctor_<c10::CompileTimeFunctionPointer<at::Tensor& (at::Tensor const&, at::Tensor const&, at::Tensor&), &at::(anonymous namespace)::wrapper_CPU_mul_out_out>, at::Tensor&, c10::guts::typelist::typelist<at::Tensor const&, at::Tensor const&, at::Tensor&> >, false>::call(c10::OperatorKernel*, c10::OperatorHandle const&, c10::DispatchKeySet, std::vector<c10::IValue, std::allocator<c10::IValue> >*)
     0.01%  python   libtorch_cpu.so                                        [.] c10::asIntArrayRefSlow(c10::ArrayRef<c10::SymInt>, char const*, long) [clone .constprop.0]
     0.01%  python   libtorch_python.so                                     [.] torch::autograd::THPVariable_full(_object*, _object*, _object*)
     0.01%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] PyUFunc_SimpleUniformOperationTypeResolver
     0.01%  python   python3.11                                             [.] PyTuple_Pack.constprop.0
     0.01%  python   libtorch_python.so                                     [.] torch::is_int_or_symint(_object*)
     0.01%  python   python3.11                                             [.] PyObject_Realloc
     0.01%  python   python3.11                                             [.] _PyErr_NormalizeException
     0.01%  python   python3.11                                             [.] PyDict_SetDefault
     0.01%  python   libtorch_python.so                                     [.] torch::autograd::THPVariable_dim(_object*, _object*)
     0.01%  python   python3.11                                             [.] long_mul
     0.01%  python   libtorch_python.so                                     [.] torch::tensors::get_default_dispatch_key()
     0.01%  python   libtorch_cpu.so                                        [.] at::_ops::copy_::redispatch(c10::DispatchKeySet, at::Tensor&, at::Tensor const&, bool)
     0.01%  python   libtorch_python.so                                     [.] THPDevice_index(THPDevice*, _object*)
     0.01%  python   libtorch_python.so                                     [.] torch::createStorageGetType(_object*)
     0.01%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] npy_get_zerofill_void_and_legacy_user_dtype_loop
     0.01%  python   libtorch_python.so                                     [.] torch::autograd::set_grad_enabled(_object*, _object*, _object*)
     0.01%  python   libtorch_cpu.so                                        [.] at::native::AVX2::copy_kernel(at::TensorIterator&, bool)::{lambda()#1}::operator()() const::{lambda()#16}::operator()() const::{lambda()#1}::operator()() const [clone .isra.0]
     0.01%  python   chisq_cpu.cpython-311-x86_64-linux-gnu.so              [.] __pyx_pw_5pycbc_6vetoes_9chisq_cpu_3point_chisq_code(_object*, _object*, _object*)
     0.01%  python   libtorch_cpu.so                                        [.] c10::impl::wrap_kernel_functor_unboxed_<c10::impl::detail::WrapFunctionIntoFunctor_<c10::CompileTimeFunctionPointer<at::Tensor& (at::Tensor&, c10::Storage), &at::(anonymous namespace)::(anonymous namespace)::wrapper_CPU_source_Storage_set_>, at::Tensor&, c10::guts::typelist::typelist<at::Tensor&, c10::Storage> >, at::Tensor& (at::Tensor&, c10::Storage)>::call(c10::OperatorKernel*, c10::DispatchKeySet, at::Tensor&, c10::Storage)
     0.01%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] PyArray_AssignArray
     0.01%  python   python3.11                                             [.] PyVectorcall_Call
     0.01%  python   libtorch_cpu.so                                        [.] c10::impl::wrap_kernel_functor_unboxed_<c10::impl::detail::WrapFunctionIntoFunctor_<c10::CompileTimeFunctionPointer<at::Tensor& (c10::DispatchKeySet, at::Tensor&, at::Tensor const&), &torch::autograd::VariableType::(anonymous namespace)::mul__Tensor>, at::Tensor&, c10::guts::typelist::typelist<c10::DispatchKeySet, at::Tensor&, at::Tensor const&> >, at::Tensor& (c10::DispatchKeySet, at::Tensor&, at::Tensor const&)>::call(c10::OperatorKernel*, c10::DispatchKeySet, at::Tensor&, at::Tensor const&)
     0.01%  python   libtorch_python.so                                     [.] torch::FunctionParameter::_check(_object*, std::vector<_object*, std::allocator<_object*> >&, int, pybind11::object*)
     0.01%  python   libtorch_cpu.so                                        [.] c10::impl::wrap_kernel_functor_unboxed_<c10::impl::detail::WrapFunctionIntoFunctor_<c10::CompileTimeFunctionPointer<at::Tensor (at::Tensor const&), &at::(anonymous namespace)::(anonymous namespace)::wrapper_CompositeExplicitAutograd__lift_fresh>, at::Tensor, c10::guts::typelist::typelist<at::Tensor const&> >, at::Tensor (at::Tensor const&)>::call(c10::OperatorKernel*, c10::DispatchKeySet, at::Tensor const&)
     0.01%  python   python3.11                                             [.] object_richcompare
     0.01%  python   libc.so.6                                              [.] pthread_getspecific@@GLIBC_2.34
     0.01%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] define_cast_for_descrs
     0.01%  python   libtorch_python.so                                     [.] torch::utils::only_lift_cpu_tensors()
     0.01%  python   python3.11                                             [.] _PyDict_Next
     0.01%  python   libtorch_python.so                                     [.] torch::PythonArgs::deviceOptional(int) [clone .part.0] [clone .isra.0]
     0.01%  python   libtorch_cpu.so                                        [.] at::_ops::add_Tensor::call(at::Tensor const&, at::Tensor const&, c10::Scalar const&)
     0.01%  python   libhdf5.so.1000.0.0                                    [.] H5P__create
     0.01%  python   libc.so.6                                              [.] __mbsrtowcs_l
     0.00%  python   libtorch_cpu.so                                        [.] torch::autograd::isFwGradDefined(std::optional<at::Tensor> const&) [clone .constprop.0]
     0.00%  python   libhdf5.so.1000.0.0                                    [.] H5S_select_all
     0.00%  python   libc10.so                                              [.] c10::intrusive_ptr<c10::VariableVersion::VersionCounter, c10::detail::intrusive_target_default_null_type<c10::VariableVersion::VersionCounter> >::reset_not_null_(c10::VariableVersion::VersionCounter*)
     0.00%  python   libmkl_core.so                                         [.] mkl_serv_allocate
     0.00%  python   python3.11                                             [.] long_add
     0.00%  python   python3.11                                             [.] cfunction_vectorcall_FASTCALL
     0.00%  python   libhdf5.so.1000.0.0                                    [.] H5D__chunk_lock
     0.00%  python   libtorch_cpu.so                                        [.] c10::DispatchKeySet::DispatchKeySet(c10::DispatchKey)
     0.00%  python   libc.so.6                                              [.] pthread_mutex_unlock@@GLIBC_2.2.5
     0.00%  python   python3.11                                             [.] _PyUnicode_FromId
     0.00%  python   python3.11                                             [.] _PyLong_AsByteArray
     0.00%  python   libhdf5.so.1000.0.0                                    [.] H5D__read
     0.00%  python   [unknown]                                              [k] 0xffffffff86400f43
     0.00%  python   libhdf5.so.1000.0.0                                    [.] H5AC__check_if_write_permitted
     0.00%  python   libc10.so                                              [.] c10::TensorImpl::~TensorImpl()
     0.00%  python   [unknown]                                              [k] 0xffffffff852138e8
     0.00%  python   libtorch_cpu.so                                        [.] at::impl::torch_function_mode_enabled()
     0.00%  python   libhdf5.so.1000.0.0                                    [.] H5S_create_simple
     0.00%  python   libtorch_python.so                                     [.] torch::utils::maybe_initialize_device(c10::Device&) [clone .isra.0]
     0.00%  python   libc10.so                                              [.] c10::TensorImpl::storage() const
     0.00%  python   [unknown]                                              [k] 0xffffffff85005930
     0.00%  python   libhdf5.so.1000.0.0                                    [.] H5O_protect
     0.00%  python   libtorch_cpu.so                                        [.] torch::autograd::generated::ViewAsRealViewFunc::~ViewAsRealViewFunc()
     0.00%  python   libtorch_cpu.so                                        [.] torch::autograd::make_variable_differentiable_view(at::Tensor const&, std::optional<torch::autograd::ViewInfo>, std::optional<torch::autograd::ViewInfo>, bool, torch::autograd::CreationMeta, bool) [clone .isra.0]
     0.00%  python   python3.11                                             [.] PyUnicode_FromFormatV
     0.00%  python   python3.11                                             [.] resize_compact
     0.00%  python   libtorch_cpu.so                                        [.] bool torch::autograd::compute_requires_grad<at::Tensor const&>(at::Tensor const&) [clone .part.0]
     0.00%  python   libstdc++.so.6.0.32                                    [.] std::basic_streambuf<char, std::char_traits<char> >::sputn(char const*, long)
     0.00%  python   libtorch_cpu.so                                        [.] torch::ADInplaceOrView::(anonymous namespace)::select_int(c10::DispatchKeySet, at::Tensor const&, long, c10::SymInt)
     0.00%  python   libtorch_python.so                                     [.] torch::PythonArgs::scalartypeOptional(int) [clone .constprop.0]
     0.00%  python   python3.11                                             [.] PyMethod_New
     0.00%  python   python3.11                                             [.] PyMem_Calloc
     0.00%  python   python3.11                                             [.] list_resize
     0.00%  python   python3.11                                             [.] Py_LeaveRecursiveCall
     0.00%  python   libhdf5.so.1000.0.0                                    [.] H5VL__object_open
     0.00%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] PyUFuncOverride_GetNonDefaultArrayUfunc
     0.00%  python   [unknown]                                              [k] 0xffffffff8520fb95
     0.00%  python   python3.11                                             [.] vgetargs1_impl
     0.00%  python   libhdf5.so.1000.0.0                                    [.] H5O__dtype_copy
     0.00%  python   python3.11                                             [.] PyVectorcall_Function
     0.00%  python   libtorch_cpu.so                                        [.] at::_ops::to_dtype::call(at::Tensor const&, c10::ScalarType, bool, bool, std::optional<c10::MemoryFormat>)
     0.00%  python   libhdf5.so.1000.0.0                                    [.] H5P__dapl_vds_file_pref_close
     0.00%  python   python3.11                                             [.] PyNumber_Add
     0.00%  python   libmkl_def.so                                          [.] mkl_dft_def_owns_cFft_BlkMerge_64fc@plt
     0.00%  python   python3.11                                             [.] PyNumber_Remainder
     0.00%  python   python3.11                                             [.] gen_iternext
     0.00%  python   libtorch_cpu.so                                        [.] at::(anonymous namespace)::check_inplace(at::Tensor const&, c10::ArrayRef<long>, c10::TensorOptions const&)
     0.00%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] array_result_type
     0.00%  python   python3.11                                             [.] cfunction_call.cold
     0.00%  python   libffi.so.8.1.0                                        [.] ffi_prep_cif_machdep
     0.00%  python   python3.11                                             [.] PyImport_ImportModule
     0.00%  python   libtorch_cpu.so                                        [.] at::globalContext()@plt
     0.00%  python   python3.11                                             [.] mappingproxy_check_mapping
     0.00%  python   libgomp.so.1                                           [.] 0x000000000001152f
     0.00%  python   libhdf5.so.1000.0.0                                    [.] H5P__lacc_elink_pref_close
     0.00%  python   libhdf5.so.1000.0.0                                    [.] H5G__component
     0.00%  python   libc.so.6                                              [.] unlink_chunk.isra.0
     0.00%  python   libtorch_python.so                                     [.] torch::autograd::THPVariable_to(_object*, _object*, _object*)
     0.00%  python   libhdf5.so.1000.0.0                                    [.] H5SL_next
     0.00%  python   libc10.so                                              [.] c10::impl::GetAutogradMetaFactory()
     0.00%  python   libtorch_python.so                                     [.] pybind11::detail::get_internals()
     0.00%  python   libhdf5.so.1000.0.0                                    [.] H5VL_set_vol_wrapper
     0.00%  python   libhdf5.so.1000.0.0                                    [.] H5P_copy_plist
     0.00%  python   libtorch_cpu.so                                        [.] torch::ADInplaceOrView::(anonymous namespace)::view_as_real(c10::DispatchKeySet, at::Tensor const&)
     0.00%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] voidtype_getfield
     0.00%  python   libhdf5.so.1000.0.0                                    [.] H5HL_protect
     0.00%  python   python3.11                                             [.] _PyObject_LookupSpecial
     0.00%  python   libc10.so                                              [.] c10::operator<<(std::ostream&, c10::DeviceType)
     0.00%  python   python3.11                                             [.] PyList_New
     0.00%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] PyArray_DescrFromType
     0.00%  python   libtorch_python.so                                     [.] torch::getTHPDtype(c10::ScalarType)
     0.00%  python   libtorch_cpu.so                                        [.] c10::HeaderOnlyArrayRef<long>::equals(c10::HeaderOnlyArrayRef<long>) const
     0.00%  python   libtorch_cpu.so                                        [.] torch::autograd::AutogradMeta::fw_grad(unsigned long, at::TensorBase const&) const
     0.00%  python   python3.11                                             [.] take_gil
     0.00%  python   python3.11                                             [.] long_richcompare
     0.00%  python   libc10.so                                              [.] c10::SymInt::has_hint() const
     0.00%  python   libhdf5.so.1000.0.0                                    [.] H5T__conv_vlen
     0.00%  python   [unknown]                                              [k] 0xffffffff85139ada
     0.00%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] FLOAT_maximum_AVX2
     0.00%  python   python3.11                                             [.] BaseException_new
     0.00%  python   libhdf5.so.1000.0.0                                    [.] H5F_has_feature
     0.00%  python   libtorch_python.so                                     [.] torch::utils::is_numpy_scalar(_object*)
     0.00%  python   libhdf5.so.1000.0.0                                    [.] H5_checksum_fletcher32
     0.00%  python   libhdf5.so.1000.0.0                                    [.] H5G__stab_lookup
     0.00%  python   python3.11                                             [.] unicode_decode_locale
     0.00%  python   libc10.so                                              [.] c10::isSharedStorageAlias(c10::Storage const&, c10::Storage const&)
     0.00%  python   python3.11                                             [.] PyArg_ParseTuple
     0.00%  python   libhdf5.so.1000.0.0                                    [.] H5CX__push_common
     0.00%  python   python3.11                                             [.] range_iter
     0.00%  python   python3.11                                             [.] slot_mp_ass_subscript
     0.00%  python   libtorch_cpu.so                                        [.] c10::SymInt::release_() [clone .isra.0]
     0.00%  python   python3.11                                             [.] PyUnicode_AsWideCharString
     0.00%  python   python3.11                                             [.] float_abs
     0.00%  python   _objects.cpython-311-x86_64-linux-gnu.so               [.] __pyx_pw_4h5py_8_objects_9FastRLock_11__exit__
     0.00%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] NpyIter_GetDataPtrArray
     0.00%  python   libhdf5.so.1000.0.0                                    [.] H5O__assert
     0.00%  python   libtorch_python.so                                     [.] torch::autograd::THPVariable_stride(_object*, _object*, _object*)
     0.00%  python   libtorch_cpu.so                                        [.] at::native::resize_impl_cpu_(c10::TensorImpl*, c10::ArrayRef<long>, c10::OptionalArrayRef<long>, bool)
     0.00%  python   libtorch_cpu.so                                        [.] at::_ops::result_type_Scalar::call(at::Tensor const&, c10::Scalar const&)
     0.00%  python   libtorch_python.so                                     [.] pybind11::cpp_function::dispatcher(_object*, _object* const*, unsigned long, _object*)
     0.00%  python   libtorch_cpu.so                                        [.] torch::autograd::VariableType::(anonymous namespace)::select_int(c10::DispatchKeySet, at::Tensor const&, long, c10::SymInt)
     0.00%  python   python3.11                                             [.] PyObject_RichCompareBool
     0.00%  python   libc.so.6                                              [.] __memmove_sse2_unaligned_erms
     0.00%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] PyArray_GetCastingImpl
     0.00%  python   libc10.so                                              [.] c10::tls_debug_info::{lambda()#1}::_FUN()
     0.00%  python   libhdf5.so.1000.0.0                                    [.] H5C__tag_entry
     0.00%  python   libtorch_cpu.so                                        [.] at::TensorIteratorBase::allocate_or_resize_outputs()@plt
     0.00%  python   libtorch_cpu.so                                        [.] at::TensorIteratorBase::for_each(c10::function_ref<void (char**, long const*, long, long)>, long)
     0.00%  python   python3.11                                             [.] PyDict_Copy
     0.00%  python   python3.11                                             [.] PyErr_Occurred
     0.00%  python   libtorch_cpu.so                                        [.] at::meta::structured_mul_Tensor::meta(at::Tensor const&, at::Tensor const&)
     0.00%  python   python3.11                                             [.] thread_get_ident
     0.00%  python   python3.11                                             [.] PyFloat_FromDouble
     0.00%  python   libtorch_cpu.so                                        [.] void c10::function_ref<void (char**, long const*, long, long)>::callback_fn<at::native::AVX2::VectorizedLoop2d<at::native::(anonymous namespace)::mul_kernel(at::TensorIteratorBase&)::{lambda()#2}::operator()() const::{lambda()#13}::operator()() const::{lambda(double, double)#1}, at::native::(anonymous namespace)::mul_kernel(at::TensorIteratorBase&)::{lambda()#2}::operator()() const::{lambda()#13}::operator()() const::{lambda(at::vec::AVX2::Vectorized<double>, at::vec::AVX2::Vectorized<double>)#1}> >(long, char**, long const*, long, long)
     0.00%  python   libtorch_python.so                                     [.] THPStorage_Wrap(c10::Storage)
     0.00%  python   libtorch_python.so                                     [.] THPVariable_get_shape(THPVariable*, void*)
     0.00%  python   python3.11                                             [.] _PyLong_FormatAdvancedWriter.cold
     0.00%  python   python3.11                                             [.] atom_rule
     0.00%  python   python3.11                                             [.] weakref_dealloc
     0.00%  python   _conv.cpython-311-x86_64-linux-gnu.so                  [.] __pyx_f_4h5py_5_conv_vlen2str
     0.00%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] npy_default_get_strided_loop
     0.00%  python   libtorch_cpu.so                                        [.] c10::TensorImpl::set_sizes_and_strides(c10::ArrayRef<long>, c10::ArrayRef<long>, std::optional<long>) [clone .isra.0]
     0.00%  python   libhdf5.so.1000.0.0                                    [.] H5FL_blk_free
     0.00%  python   libtorch_cpu.so                                        [.] at::_ops::as_strided::call(at::Tensor const&, c10::ArrayRef<c10::SymInt>, c10::ArrayRef<c10::SymInt>, std::optional<c10::SymInt>)
     0.00%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] _get_fixed_signature
     0.00%  python   [unknown]                                              [k] 0xffffffff85460ab4
     0.00%  python   libhdf5.so.1000.0.0                                    [.] H5FL_blk_malloc
     0.00%  python   libtorch_cpu.so                                        [.] c10::impl::ExcludeDispatchKeyGuard::ExcludeDispatchKeyGuard(c10::DispatchKeySet)@plt
     0.00%  python   python3.11                                             [.] PyUnicode_AsASCIIString
     0.00%  python   python3.11                                             [.] sre_ucs1_match
     0.00%  python   python3.11                                             [.] PyObject_RichCompare
     0.00%  python   [unknown]                                              [k] 0xffffffff85432ad0
     0.00%  python   python3.11                                             [.] unicode_hash
     0.00%  python   [unknown]                                              [k] 0xffffffff85432a49
     0.00%  python   [unknown]                                              [k] 0xffffffff850d911c
     0.00%  python   libtorch_python.so                                     [.] torch::autograd::UnpackedSlice::~UnpackedSlice()
     0.00%  python   [unknown]                                              [k] 0xffffffff86259151
