# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 20K of event 'cycles:u' (time slices: 548515.257522922,548616.782023100)
# Event count (approx.): 265145572344
#
# Overhead  Command  Shared Object                                          Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
# ........  .......  .....................................................  ...............................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
     0.01%  python   [unknown]                                              [k] 0xffffffff8626bd40
     0.01%  python   python3.11                                             [.] PyContextVar_Get
     0.01%  python   libmkl_core.so                                         [.] mkl_serv_deallocate
     0.01%  python   python3.11                                             [.] siphash13
     0.01%  python   libmkl_def.so                                          [.] mkl_dft_def_owns_cFft_BlkSplit_64fc@plt
     0.01%  python   python3.11                                             [.] method_get
     0.01%  python   libtorch_cpu.so                                        [.] at::internal::OpaqueOptionalTensorRef::getTensor() const
     0.01%  python   libc.so.6                                              [.] pthread_mutex_lock@@GLIBC_2.2.5
     0.01%  python   libstdc++.so.6.0.32                                    [.] std::ostream::sentry::sentry(std::ostream&)
     0.01%  python   libtorch_python.so                                     [.] c10::VariableVersion::VersionCounter::~VersionCounter()
     0.01%  python   libtorch_cpu.so                                        [.] at::_ops::add_Tensor::redispatch(c10::DispatchKeySet, at::Tensor const&, at::Tensor const&, c10::Scalar const&)
     0.01%  python   python3.11                                             [.] list_dealloc
     0.01%  python   python3.11                                             [.] dict_subscript
     0.01%  python   libtorch_cpu.so                                        [.] at::TensorIteratorBase::has_contiguous_first_dim() const
     0.01%  python   libtorch_cpu.so                                        [.] torch::autograd::impl::bump_version(at::Tensor const&)
     0.01%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] array_dealloc
     0.01%  python   libtorch_cpu.so                                        [.] at::TensorIteratorBase::compute_fast_setup_type(at::TensorIteratorConfig const&)
     0.01%  python   libc.so.6                                              [.] __memmove_avx_unaligned_erms
     0.01%  python   python3.11                                             [.] PyObject_Call
