# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 23K of event 'cycles:u'
# Event count (approx.): 308143790071
#
# Overhead  Command     Shared Object                                          Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
# ........  ..........  .....................................................  .....................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
     0.36%  python      libtorch_cpu.so                                        [.] void at::native::(anonymous namespace)::sort_kernel_impl<double, at::native::StridedRandomAccessor<double, long, at::native::DefaultPtrTraits>, at::native::StridedRandomAccessor<long, long, at::native::DefaultPtrTraits> >(at::native::StridedRandomAccessor<double, long, at::native::DefaultPtrTraits> const&, at::native::StridedRandomAccessor<long, long, at::native::DefaultPtrTraits> const&, long, bool, bool)
     0.34%  python      libtorch_cpu.so                                        [.] void c10::function_ref<void (char**, long const*, long, long)>::callback_fn<at::native::AVX2::VectorizedLoop2d<at::native::(anonymous namespace)::mul_kernel(at::TensorIteratorBase&)::{lambda()#2}::operator()() const::{lambda()#14}::operator()() const::{lambda(float, float)#1}, at::native::(anonymous namespace)::mul_kernel(at::TensorIteratorBase&)::{lambda()#2}::operator()() const::{lambda()#14}::operator()() const::{lambda(at::vec::AVX2::Vectorized<float>, at::vec::AVX2::Vectorized<float>)#1}> >(long, char**, long const*, long, long)
     0.34%  python      libtorch_cpu.so                                        [.] void c10::function_ref<void (char**, long const*, long, long)>::callback_fn<at::TensorIteratorBase::loop_2d_from_1d<at::native::(anonymous namespace)::cpu_cum_base_kernel<double, at::native::(anonymous namespace)::cumsum_cpu_kernel(at::Tensor const&, at::Tensor const&, long)::{lambda()#1}::operator()() const::{lambda()#6}::operator()() const::{lambda(double*, auto:1, double const*, auto:2, double)#1}>(at::Tensor const&, at::Tensor const&, long, at::native::(anonymous namespace)::cumsum_cpu_kernel(at::Tensor const&, at::Tensor const&, long)::{lambda()#1}::operator()() const::{lambda()#6}::operator()() const::{lambda(double*, auto:1, double const*, auto:2, double)#1} const&, double)::{lambda(char**, long const*, long)#1}>(at::native::(anonymous namespace)::cpu_cum_base_kernel<double, at::native::(anonymous namespace)::cumsum_cpu_kernel(at::Tensor const&, at::Tensor const&, long)::{lambda()#1}::operator()() const::{lambda()#6}::operator()() const::{lambda(double*, auto:1, double const*, auto:2, double)#1}>(at::Tensor const&, at::Tensor const&, long, at::native::(anonymous namespace)::cumsum_cpu_kernel(at::Tensor const&, at::Tensor const&, long)::{lambda()#1}::operator()() const::{lambda()#6}::operator()() const::{lambda(double*, auto:1, double const*, auto:2, double)#1} const&, double)::{lambda(char**, long const*, long)#1} const&)::{lambda(char**, long const*, long, long)#1}>(long, char**, long const*, long, long)
     0.33%  python      libtorch_cpu.so                                        [.] void c10::function_ref<void (char**, long const*, long, long)>::callback_fn<at::native::AVX2::VectorizedLoop2d<at::native::(anonymous namespace)::fill_kernel(at::TensorIterator&, c10::Scalar const&)::{lambda()#1}::operator()() const::{lambda()#9}::operator()() const::{lambda()#1}, at::native::(anonymous namespace)::fill_kernel(at::TensorIterator&, c10::Scalar const&)::{lambda()#1}::operator()() const::{lambda()#9}::operator()() const::{lambda()#2}> >(long, char**, long const*, long, long)
     0.32%  python      libmkl_core.so                                         [.] mkl_serv_libm_sin
     0.29%  python      libtorch_cpu.so                                        [.] void std::__introsort_loop<at::native::CompositeRandomAccessor<at::native::StridedRandomAccessor<double, long, at::native::DefaultPtrTraits>, at::native::StridedRandomAccessor<long, long, at::native::DefaultPtrTraits>, at::native::TupleInfoCPU>, long, __gnu_cxx::__ops::_Iter_comp_iter<at::native::(anonymous namespace)::KeyValueCompAsc<double> > >(at::native::CompositeRandomAccessor<at::native::StridedRandomAccessor<double, long, at::native::DefaultPtrTraits>, at::native::StridedRandomAccessor<long, long, at::native::DefaultPtrTraits>, at::native::TupleInfoCPU>, at::native::CompositeRandomAccessor<at::native::StridedRandomAccessor<double, long, at::native::DefaultPtrTraits>, at::native::StridedRandomAccessor<long, long, at::native::DefaultPtrTraits>, at::native::TupleInfoCPU>, long, __gnu_cxx::__ops::_Iter_comp_iter<at::native::(anonymous namespace)::KeyValueCompAsc<double> >)
     0.29%  python      libtorch_cpu.so                                        [.] void c10::function_ref<void (char**, long const*, long, long)>::callback_fn<at::native::AVX2::VectorizedLoop2d<at::native::(anonymous namespace)::fill_kernel(at::TensorIterator&, c10::Scalar const&)::{lambda()#1}::operator()() const::{lambda()#7}::operator()() const::{lambda()#1}, at::native::(anonymous namespace)::fill_kernel(at::TensorIterator&, c10::Scalar const&)::{lambda()#1}::operator()() const::{lambda()#7}::operator()() const::{lambda()#2}> >(long, char**, long const*, long, long)
     0.28%  python      libmkl_core.so                                         [.] mkl_serv_libm_cos
     0.27%  python      python3.11                                             [.] _Py_dict_lookup
     0.25%  python      python3.11                                             [.] gc_collect_main
