-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                Activity Buffer Request        76.93%       2.913ms        76.93%       2.913ms       2.913ms      26.017us         9.94%      26.017us      26.017us             1  
                                       cudaLaunchKernel         3.63%     137.628us         3.63%     137.628us      13.763us       0.000us         0.00%       0.000us       0.000us            10  
                                            aten::slice         3.63%     137.439us         4.31%     163.318us       4.949us       0.000us         0.00%       0.000us       0.000us            33  
                                         aten::_fft_c2c         1.59%      60.255us         3.56%     134.725us     134.725us      84.769us        32.38%     120.833us     120.833us             1  
                                        cudaMemcpyAsync         1.09%      41.347us         1.09%      41.347us      20.673us       0.000us         0.00%       0.000us       0.000us             2  
                                            aten::copy_         1.04%      39.216us         2.65%     100.439us      33.480us      12.896us         4.93%      12.896us       4.299us             3  
                                              aten::mul         1.01%      38.132us         3.26%     123.303us      61.652us      48.512us        18.53%      59.168us      29.584us             2  
                                              aten::cat         0.97%      36.760us        78.93%       2.989ms       2.989ms      26.017us         9.94%      52.034us      52.034us             1  
                                       aten::as_strided         0.87%      32.871us         0.87%      32.871us       0.888us       0.000us         0.00%       0.000us       0.000us            37  
                                              aten::pow         0.80%      30.227us         1.23%      46.458us      46.458us      21.632us         8.26%      21.632us      21.632us             1  
                                            aten::index         0.77%      29.206us         1.24%      46.949us      46.949us       2.528us         0.97%       2.528us       2.528us             1  
                                    aten::empty_strided         0.73%      27.602us         0.73%      27.602us       9.201us       0.000us         0.00%       0.000us       0.000us             3  
                                              aten::sum         0.67%      25.447us         0.98%      37.009us      37.009us      35.840us        13.69%      35.840us      35.840us             1  
                                           aten::argmax         0.64%      24.297us         1.15%      43.623us      43.623us      20.128us         7.69%      20.128us      20.128us             1  
                                            aten::empty         0.59%      22.393us         0.59%      22.393us       7.464us       0.000us         0.00%       0.000us       0.000us             3  
                                            aten::stack         0.54%      20.439us        79.54%       3.012ms       3.012ms       0.000us         0.00%      52.034us      52.034us             1  
                                         cuLaunchKernel         0.53%      19.947us         0.53%      19.947us       9.974us       0.000us         0.00%       0.000us       0.000us             2  
                                           aten::arange         0.47%      17.813us         1.65%      62.568us      31.284us       0.896us         0.34%       1.792us       0.896us             2  
                                            aten::clone         0.39%      14.738us         1.80%      68.209us      68.209us       0.000us         0.00%      10.656us      10.656us             1  
                                             aten::view         0.34%      12.865us         0.34%      12.865us       1.838us       0.000us         0.00%       0.000us       0.000us             7  
                                         aten::_to_copy         0.32%      12.195us         2.29%      86.765us      43.383us       0.000us         0.00%       2.240us       1.120us             2  
                                       aten::nan_to_num         0.31%      11.873us         0.54%      20.449us      20.449us       8.545us         3.26%       8.545us       8.545us             1  
                                     aten::view_as_real         0.26%       9.918us         0.26%       9.918us       9.918us       0.000us         0.00%       0.000us       0.000us             1  
                                  cudaDeviceSynchronize         0.24%       9.006us         0.24%       9.006us       4.503us       0.000us         0.00%       0.000us       0.000us             2  
                                          aten::reshape         0.22%       8.144us         0.34%      12.964us       3.241us       0.000us         0.00%       0.000us       0.000us             4  
                                               aten::to         0.21%       7.935us         2.50%      94.700us      18.940us       0.000us         0.00%       2.240us       0.448us             5  
                                         aten::fft_ifft         0.20%       7.624us         3.76%     142.349us     142.349us       0.000us         0.00%     120.833us     120.833us             1  
                                          aten::resize_         0.19%       7.134us         0.19%       7.134us       3.567us       0.000us         0.00%       0.000us       0.000us             2  
                                  cudaStreamSynchronize         0.16%       6.111us         0.16%       6.111us       3.055us       0.000us         0.00%       0.000us       0.000us             2  
                                      aten::as_strided_         0.12%       4.358us         0.12%       4.358us       4.358us       0.000us         0.00%       0.000us       0.000us             1  
                                           aten::square         0.11%       4.247us         1.34%      50.705us      50.705us       0.000us         0.00%      21.632us      21.632us             1  
                                           aten::detach         0.11%       4.200us         0.11%       4.200us       1.050us       0.000us         0.00%       0.000us       0.000us             4  
                                          aten::permute         0.10%       3.928us         0.14%       5.170us       5.170us       0.000us         0.00%       0.000us       0.000us             1  
                                      aten::nan_to_num_         0.10%       3.757us         0.64%      24.206us      24.206us       0.000us         0.00%       8.545us       8.545us             1  
                                  cudaStreamIsCapturing         0.06%       2.294us         0.06%       2.294us       1.147us       0.000us         0.00%       0.000us       0.000us             2  
                                      aten::result_type         0.03%       0.972us         0.03%       0.972us       0.972us       0.000us         0.00%       0.000us       0.000us             1  
                                     aten::resolve_conj         0.02%       0.812us         0.02%       0.812us       0.406us       0.000us         0.00%       0.000us       0.000us             2  
                                      aten::resolve_neg         0.01%       0.322us         0.01%       0.322us       0.161us       0.000us         0.00%       0.000us       0.000us             2  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us      26.017us         9.94%      26.017us      26.017us             1  
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us      10.656us         4.07%      10.656us      10.656us             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 3.786ms
Self CUDA time total: 261.763us
