-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                        cudaMemcpyAsync        53.73%       8.732ms        53.73%       8.732ms       4.366ms       0.000us         0.00%       0.000us       0.000us             2  
                                            aten::slice        19.83%       3.223ms        23.81%       3.869ms       3.553us       0.000us         0.00%       0.000us       0.000us          1089  
                                         aten::_fft_c2c         5.04%     818.887us        14.90%       2.422ms      75.682us       3.691ms        27.33%       4.749ms     148.400us            32  
                                       aten::as_strided         4.11%     668.710us         4.11%     668.710us       0.595us       0.000us         0.00%       0.000us       0.000us          1124  
                                         cuLaunchKernel         2.82%     458.080us         2.82%     458.080us       7.157us       0.000us         0.00%       0.000us       0.000us            64  
                                            aten::empty         2.36%     382.798us         2.36%     382.798us       5.889us       0.000us         0.00%       0.000us       0.000us            65  
                                       cudaLaunchKernel         2.35%     381.274us         2.35%     381.274us       7.943us       0.000us         0.00%       0.000us       0.000us            48  
                                              aten::mul         2.06%     335.046us         3.86%     627.740us      19.022us       2.270ms        16.81%       3.468ms     105.090us            33  
                                Activity Buffer Request         1.76%     285.538us         1.76%     285.538us     285.538us       1.126ms         8.34%       1.126ms       1.126ms             1  
                                              aten::cat         1.35%     220.071us         3.63%     589.660us     589.660us       1.126ms         8.34%       2.252ms       2.252ms             1  
                                         aten::fft_ifft         0.61%      98.665us        15.51%       2.520ms      78.765us       0.000us         0.00%       4.749ms     148.400us            32  
                                            aten::stack         0.57%      93.015us         4.22%     685.130us     685.130us       0.000us         0.00%       2.252ms       2.252ms             1  
                                          aten::permute         0.51%      82.312us         0.62%     100.276us       3.134us       0.000us         0.00%       0.000us       0.000us            32  
                                          aten::reshape         0.39%      62.965us         0.56%      91.497us       2.614us       0.000us         0.00%       0.000us       0.000us            35  
                                            aten::index         0.32%      51.618us         0.43%      70.262us      70.262us       5.632us         0.04%       5.632us       5.632us             1  
                                      aten::as_strided_         0.31%      49.662us         0.31%      49.662us       1.552us       0.000us         0.00%       0.000us       0.000us            32  
                                            aten::copy_         0.24%      38.855us        54.09%       8.791ms       2.930ms       1.201ms         8.89%       1.201ms     400.247us             3  
                                             aten::view         0.23%      36.618us         0.23%      36.618us       0.964us       0.000us         0.00%       0.000us       0.000us            38  
                                              aten::pow         0.18%      29.105us         0.28%      45.957us      45.957us       2.059ms        15.24%       2.059ms       2.059ms             1  
                                    aten::empty_strided         0.16%      25.998us         0.16%      25.998us       8.666us       0.000us         0.00%       0.000us       0.000us             3  
                                              aten::sum         0.15%      24.136us         0.22%      35.146us      35.146us       1.601ms        11.85%       1.601ms       1.601ms             1  
                                           aten::argmax         0.14%      22.182us         0.20%      32.201us      32.201us     554.625us         4.11%     554.625us     554.625us             1  
                                          aten::resize_         0.13%      21.931us         0.13%      21.931us       0.665us       0.000us         0.00%       0.000us       0.000us            33  
                                           aten::arange         0.11%      17.192us         0.38%      61.986us      30.993us       1.216us         0.01%       2.432us       1.216us             2  
                                            aten::clone         0.10%      16.110us         0.42%      67.557us      67.557us       0.000us         0.00%       1.198ms       1.198ms             1  
                                         aten::_to_copy         0.08%      13.346us        54.01%       8.778ms       4.389ms       0.000us         0.00%       3.137us       1.569us             2  
                                       aten::nan_to_num         0.07%      11.331us         0.12%      19.787us      19.787us     995.843us         7.37%     995.843us     995.843us             1  
                                     aten::view_as_real         0.06%       9.719us         0.06%       9.719us       9.719us       0.000us         0.00%       0.000us       0.000us             1  
                                  cudaDeviceSynchronize         0.06%       9.598us         0.06%       9.598us       4.799us       0.000us         0.00%       0.000us       0.000us             2  
                                               aten::to         0.05%       8.484us        54.07%       8.787ms       1.757ms       0.000us         0.00%       3.137us       0.627us             5  
                                  cudaStreamSynchronize         0.04%       6.422us         0.04%       6.422us       3.211us       0.000us         0.00%       0.000us       0.000us             2  
                                           aten::detach         0.03%       4.539us         0.03%       4.539us       1.135us       0.000us         0.00%       0.000us       0.000us             4  
                                           aten::square         0.03%       4.257us         0.31%      50.214us      50.214us       0.000us         0.00%       2.059ms       2.059ms             1  
                                      aten::nan_to_num_         0.02%       3.426us         0.14%      23.213us      23.213us       0.000us         0.00%     995.843us     995.843us             1  
                                  cudaStreamIsCapturing         0.02%       2.524us         0.02%       2.524us       1.262us       0.000us         0.00%       0.000us       0.000us             2  
                                      aten::result_type         0.01%       0.982us         0.01%       0.982us       0.982us       0.000us         0.00%       0.000us       0.000us             1  
                                     aten::resolve_conj         0.01%       0.842us         0.01%       0.842us       0.421us       0.000us         0.00%       0.000us       0.000us             2  
                                      aten::resolve_neg         0.00%       0.321us         0.00%       0.321us       0.160us       0.000us         0.00%       0.000us       0.000us             2  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us       1.126ms         8.34%       1.126ms     140.733us             8  
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.198ms         8.87%       1.198ms       1.198ms             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 16.252ms
Self CUDA time total: 13.504ms
