# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 9K of event 'cycles:u' (time slices: 546527.481453187,546576.831237823)
# Event count (approx.): 126801246102
#
# Overhead  Command  Shared Object                                          Symbol                                                                                                                                                     
# ........  .......  .....................................................  ...........................................................................................................................................................
#
     0.01%  python   simd_threshold_cython.cpython-311-x86_64-linux-gnu.so  [.] _parallel_thresh_cluster(std::complex<float>*, unsigned int, std::complex<float>*, unsigned int*, float, unsigned int, unsigned int) [clone ._omp_fn.0]
     0.01%  python   [unknown]                                              [k] 0xffffffff85431574
     0.01%  python   python3.11                                             [.] PyFloat_FromDouble
     0.01%  python   h5t.cpython-311-x86_64-linux-gnu.so                    [.] __pyx_f_4h5py_3h5t_11TypeFloatID_py_dtype
     0.01%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] array_descr_get
     0.01%  python   python3.11                                             [.] PyFunction_NewWithQualName
     0.01%  python   libhdf5.so.1000.0.0                                    [.] H5FL_reg_free
     0.01%  python   python3.11                                             [.] builtin_issubclass
     0.01%  python   [unknown]                                              [k] 0xffffffff851e29c7
     0.01%  python   python3.11                                             [.] method_vectorcall_O
     0.01%  python   python3.11                                             [.] va_build_stack
     0.01%  python   libhdf5.so.1000.0.0                                    [.] H5C_protect
     0.01%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] PyArray_AssignFromCache_Recursive
     0.01%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] PyArray_PromoteTypes
     0.01%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] promote_and_get_info_and_ufuncimpl
     0.01%  python   [unknown]                                              [k] 0xffffffff850d912e
     0.01%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] resolve_descriptors
     0.01%  python   python3.11                                             [.] cfunction_vectorcall_FASTCALL_KEYWORDS
     0.01%  python   libhdf5.so.1000.0.0                                    [.] H5SL__insert_common
     0.01%  python   libc.so.6                                              [.] __tzfile_compute
     0.01%  python   python3.11                                             [.] PyUnicode_FindChar
     0.01%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] NpyIter_GetIterSize
     0.01%  python   python3.11                                             [.] subtype_dict
     0.01%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] _buffer_info_cmp
     0.01%  python   python3.11                                             [.] PyImport_ImportModuleLevelObject
     0.01%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] PyArray_DescrFromScalar.part.0
     0.01%  python   python3.11                                             [.] _PyEval_EvalFrameDefault.cold
     0.01%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] _aligned_strided_to_strided_size4_srcstride0
     0.01%  python   python3.11                                             [.] _PyTuple_FromArray
     0.01%  python   [unknown]                                              [k] 0xffffffff85139ae2
     0.01%  python   chisq_cpu.cpython-311-x86_64-linux-gnu.so              [.] __pyx_pw_5pycbc_6vetoes_9chisq_cpu_9shift_sum(_object*, _object* const*, long, _object*)
     0.01%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] PyArray_GetPriority.part.0
     0.01%  python   python3.11                                             [.] int___format__
     0.01%  python   python3.11                                             [.] PySys_Audit
     0.01%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] prepare_index
     0.01%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] default_builtin_common_dtype
     0.01%  python   libc.so.6                                              [.] __memset_avx2_unaligned
     0.01%  python   python3.11                                             [.] listiter_dealloc
     0.01%  python   python3.11                                             [.] builtin___import__
     0.01%  python   libhdf5.so.1000.0.0                                    [.] H5VL_set_vol_wrapper
     0.01%  python   _ctypes.cpython-311-x86_64-linux-gnu.so                [.] _ctypes_callproc
     0.01%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] PyArray_DescrFromType
     0.01%  python   python3.11                                             [.] _PyCode_ConstantKey
     0.01%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] NpyIter_GetInnerFixedStrideArray
     0.01%  python   libc.so.6                                              [.] _int_free_maybe_consolidate
     0.01%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] NpyIter_AdvancedNew
     0.01%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] PyArray_CanCastArrayTo
     0.01%  python   python3.11                                             [.] convertsimple
     0.01%  python   matchedfilter_cpu.cpython-311-x86_64-linux-gnu.so      [.] __pyx_pw_5pycbc_6filter_17matchedfilter_cpu_13CPUCorrelator_3correlate(_object*, _object* const*, long, _object*)
     0.01%  python   eventmgr_cython.cpython-311-x86_64-linux-gnu.so        [.] __Pyx_PyDict_GetItem(_object*, _object*)
     0.01%  python   [unknown]                                              [k] 0xffffffff8520fb95
     0.01%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] can_elide_temp_unary
     0.01%  python   python3.11                                             [.] _PyObject_VectorcallTstate.lto_priv.21
     0.01%  python   python3.11                                             [.] _PyTime_localtime
     0.01%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] array_multiply
     0.01%  python   python3.11                                             [.] unicode_subscript
     0.01%  python   libc.so.6                                              [.] __offtime
     0.01%  python   simd_threshold_cython.cpython-311-x86_64-linux-gnu.so  [.] _windowed_max(std::complex<float>*, long, std::complex<float>*, float*, long*, long, long)
     0.01%  python   python3.11                                             [.] _PyType_Lookup
     0.01%  python   python3.11                                             [.] _PyObject_CallMethodIdObjArgs
     0.01%  python   python3.11                                             [.] _Py_dg_dtoa
     0.01%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] PyArray_MultiplyList
     0.01%  python   python3.11                                             [.] PyNumber_Long
     0.01%  python   libhdf5.so.1000.0.0                                    [.] H5CX__pop_common
     0.01%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] _aligned_cast_long_to_uint
     0.01%  python   python3.11                                             [.] _io_TextIOWrapper_flush
     0.01%  python   _datetime.cpython-311-x86_64-linux-gnu.so              [.] add_datetime_timedelta.isra.0
     0.01%  python   libhdf5.so.1000.0.0                                    [.] H5SL__new_node
     0.01%  python   libc.so.6                                              [.] __mbsrtowcs_l
     0.01%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] PyArray_AssignRawScalar
     0.01%  python   libhdf5.so.1000.0.0                                    [.] H5D__btree_decode_key
     0.01%  python   [unknown]                                              [k] 0xffffffff862582d7
     0.01%  python   _objects.cpython-311-x86_64-linux-gnu.so               [.] __pyx_pw_4h5py_8_objects_9with_phil_1wrapper
     0.01%  python   libhdf5.so.1000.0.0                                    [.] H5Pget_class
     0.01%  python   python3.11                                             [.] _PyHamt_Find.constprop.0
     0.01%  python   defs.cpython-311-x86_64-linux-gnu.so                   [.] __pyx_f_4h5py_4defs_H5Oopen
     0.01%  python   chisq_cpu.cpython-311-x86_64-linux-gnu.so              [.] __Pyx_BufFmt_ProcessTypeChunk(__Pyx_BufFmt_Context*)
     0.01%  python   python3.11                                             [.] vgetargs1_impl
     0.01%  python   _errors.cpython-311-x86_64-linux-gnu.so                [.] __pyx_f_4h5py_7_errors_set_default_error_handler
     0.01%  python   python3.11                                             [.] structseq_dealloc
     0.01%  python   libhdf5.so.1000.0.0                                    [.] H5G_loc_copy
     0.01%  python   libc.so.6                                              [.] memset@plt
     0.01%  python   libhdf5.so.1000.0.0                                    [.] H5C_unprotect
     0.01%  python   [unknown]                                              [k] 0xffffffff854311ff
     0.01%  python   libhdf5.so.1000.0.0                                    [.] H5I_iterate
     0.01%  python   python3.11                                             [.] PyUnicode_FromFormatV
     0.01%  python   libm.so.6                                              [.] __pow_finite@GLIBC_2.15@plt
     0.01%  python   libc.so.6                                              [.] __isnan
     0.01%  python   libhdf5.so.1000.0.0                                    [.] H5_hash_string@plt
     0.01%  python   libhdf5.so.1000.0.0                                    [.] H5C__tag_entry
     0.01%  python   python3.11                                             [.] meth_dealloc
     0.01%  python   [vdso]                                                 [.] 0x0000000000000ae9
     0.01%  python   libhdf5.so.1000.0.0                                    [.] H5G__traverse_real
     0.01%  python   libz.so.1.3.1                                          [.] updatewindow
     0.01%  python   python3.11                                             [.] instancemethod_dealloc
     0.01%  python   python3.11                                             [.] _io_TextIOWrapper_write
     0.01%  python   libc.so.6                                              [.] __strncpy_avx2
     0.01%  python   python3.11                                             [.] bitwise_or_rule
     0.01%  python   libc.so.6                                              [.] __memmove_avx_unaligned
     0.01%  python   libhdf5.so.1000.0.0                                    [.] H5D_chunk_idx_reset
     0.01%  python   h5t.cpython-311-x86_64-linux-gnu.so                    [.] __pyx_f_4h5py_3h5t_py_create
     0.01%  python   python3.11                                             [.] long_or
     0.01%  python   python3.11                                             [.] builtin_id
     0.01%  python   [unknown]                                              [k] 0xffffffff8545d4bf
     0.01%  python   python3.11                                             [.] PyBytes_FromStringAndSize
     0.01%  python   python3.11                                             [.] PyVectorcall_Function
     0.01%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] PyArray_NewFromDescr
     0.01%  python   [unknown]                                              [k] 0xffffffff8512d015
     0.01%  python   python3.11                                             [.] property_descr_get
     0.01%  python   libc.so.6                                              [.] __errno_location
     0.01%  python   h5d.cpython-311-x86_64-linux-gnu.so                    [.] __Pyx_PyObject_FastCallDict.constprop.0
     0.01%  python   h5a.cpython-311-x86_64-linux-gnu.so                    [.] __Pyx_PyObject_FastCallDict.constprop.0
     0.01%  python   libhdf5.so.1000.0.0                                    [.] H5CX_push
     0.01%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] npyiter_goto_iterindex
     0.01%  python   python3.11                                             [.] PyUnicode_Substring
     0.01%  python   array_cpu.cpython-311-x86_64-linux-gnu.so              [.] __Pyx_BufFmt_CheckString(__Pyx_BufFmt_Context*, char const*)
     0.01%  python   array_cpu.cpython-311-x86_64-linux-gnu.so              [.] __pyx_pw_5pycbc_5types_9array_cpu_29inner(_object*, _object* const*, long, _object*)
     0.01%  python   python3.11                                             [.] _PyLong_New
     0.01%  python   libhdf5.so.1000.0.0                                    [.] H5S__hyper_release
     0.01%  python   libhdf5.so.1000.0.0                                    [.] H5I__dec_app_ref
     0.01%  python   python3.11                                             [.] PyObject_Malloc
     0.01%  python   libhdf5.so.1000.0.0                                    [.] H5T_cmp
     0.01%  python   array_cpu.cpython-311-x86_64-linux-gnu.so              [.] __pyx_pw_5pycbc_5types_9array_cpu_47_scheme_matches_base_array(_object*, _object* const*, long, _object*)
     0.01%  python   libc.so.6                                              [.] memcpy@GLIBC_2.2.5
     0.01%  python   [unknown]                                              [k] 0xffffffff8545d4d5
     0.01%  python   python3.11                                             [.] do_mkvalue
     0.01%  python   python3.11                                             [.] find_name_in_mro
     0.01%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] array_array
     0.01%  python   python3.11                                             [.] PyMem_Calloc
     0.01%  python   python3.11                                             [.] _PyObject_New
     0.01%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] UINT_add_AVX2
     0.01%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] try_trivial_single_output_loop
     0.01%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] PyDataMem_UserNEW
     0.01%  python   python3.11                                             [.] parse_internal_render_format_spec
     0.01%  python   python3.11                                             [.] PySlice_Unpack
     0.01%  python   libhdf5.so.1000.0.0                                    [.] H5SL_destroy
     0.01%  python   python3.11                                             [.] tuplelength
     0.01%  python   python3.11                                             [.] PyObject_RichCompare
     0.01%  python   _conv.cpython-311-x86_64-linux-gnu.so                  [.] PyGILState_Ensure@plt
     0.01%  python   python3.11                                             [.] PyObject_Size
     0.01%  python   [unknown]                                              [k] 0xffffffff8520fba6
     0.01%  python   [unknown]                                              [k] 0xffffffff862597a6
     0.01%  python   [unknown]                                              [k] 0xffffffff8545ba61
     0.01%  python   _datetime.cpython-311-x86_64-linux-gnu.so              [.] datetime_subtract
     0.01%  python   libm.so.6                                              [.] __ieee754_pow_fma
     0.01%  python   libhdf5.so.1000.0.0                                    [.] H5D__get_space@plt
     0.01%  python   libhdf5.so.1000.0.0                                    [.] H5C__load_entry
     0.01%  python   libhdf5.so.1000.0.0                                    [.] H5VM_array_down
     0.01%  python   python3.11                                             [.] tuple_iter
     0.01%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] _npy_parse_arguments
     0.01%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] PyArray_IterNew
     0.01%  python   [unknown]                                              [k] 0xffffffff85432cc6
     0.01%  python   h5t.cpython-311-x86_64-linux-gnu.so                    [.] PyLong_FromLong@plt
     0.01%  python   libc.so.6                                              [.] __printf_buffer
     0.01%  python   python3.11                                             [.] unicode_dealloc
     0.01%  python   [unknown]                                              [k] 0xffffffff854f4695
     0.01%  python   libhdf5.so.1000.0.0                                    [.] H5F_get_vol_obj
     0.01%  python   libz.so.1.3.1                                          [.] adler32_z
     0.01%  python   libhdf5.so.1000.0.0                                    [.] H5AC_tag
     0.01%  python   [unknown]                                              [k] 0xffffffff85460cf1
     0.01%  python   python3.11                                             [.] list_dealloc
     0.01%  python   python3.11                                             [.] siphash13
     0.01%  python   [unknown]                                              [k] 0xffffffff850062a6
     0.01%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] PyArray_UpdateFlags
     0.01%  python   libhdf5.so.1000.0.0                                    [.] H5O_get_create_plist@plt
     0.01%  python   python3.11                                             [.] PyNumber_FloorDivide
     0.01%  python   [unknown]                                              [k] 0xffffffff862549db
     0.01%  python   [unknown]                                              [k] 0xffffffff85213922
     0.01%  python   python3.11                                             [.] _PyArg_ParseTupleAndKeywords_SizeT
     0.01%  python   [unknown]                                              [k] 0xffffffff8542525b
     0.01%  python   [unknown]                                              [k] 0xffffffff85447fff
     0.01%  python   h5t.cpython-311-x86_64-linux-gnu.so                    [.] __pyx_pw_4h5py_3h5t_12TypeAtomicID_1get_order
     0.01%  python   python3.11                                             [.] _PyObject_Malloc
     0.01%  python   libhdf5.so.1000.0.0                                    [.] H5AC_unpin_entry
     0.01%  python   libc.so.6                                              [.] pthread_getspecific@@GLIBC_2.34
     0.01%  python   h5t.cpython-311-x86_64-linux-gnu.so                    [.] __pyx_pw_4h5py_3h5t_29check_vlen_dtype
     0.01%  python   [unknown]                                              [k] 0xffffffff862549ee
     0.01%  python   python3.11                                             [.] PyTuple_Pack.constprop.0
     0.01%  python   [unknown]                                              [k] 0xffffffff86401638
     0.01%  python   [unknown]                                              [k] 0xffffffff861d9bb7
     0.01%  python   [unknown]                                              [k] 0xffffffff8542e114
     0.01%  python   [unknown]                                              [k] 0xffffffff85433105
     0.01%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] _apply_array_wrap
     0.01%  python   [unknown]                                              [k] 0xffffffff8506ca19
     0.01%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] _get_field_view
     0.01%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] PyArray_MinCastSafety
     0.01%  python   libc.so.6                                              [.] cfree@GLIBC_2.2.5
     0.01%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] IsAligned
     0.01%  python   matchedfilter_cpu.cpython-311-x86_64-linux-gnu.so      [.] __Pyx_BufFmt_ProcessTypeChunk(__Pyx_BufFmt_Context*)
     0.01%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] NpyIter_GetInnerLoopSizePtr
     0.01%  python   [unknown]                                              [k] 0xffffffff8549af4e
     0.01%  python   [unknown]                                              [k] 0xffffffff851dcd55
     0.01%  python   python3.11                                             [.] PyFloat_AsDouble
     0.01%  python   [unknown]                                              [k] 0xffffffff85067dc3
     0.01%  python   [unknown]                                              [k] 0xffffffff8545ae04
     0.01%  python   [unknown]                                              [k] 0xffffffff8626a15b
     0.01%  python   [unknown]                                              [k] 0xffffffff86400126
     0.01%  python   [unknown]                                              [k] 0xffffffff8545d53b
     0.01%  python   [unknown]                                              [k] 0xffffffff8626aa89
     0.01%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] PyArray_Newshape
     0.01%  python   libc.so.6                                              [.] __vsnprintf_internal
     0.01%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] promote_types
     0.01%  python   python3.11                                             [.] _PyFrame_MakeAndSetFrameObject
     0.01%  python   python3.11                                             [.] PyObject_Realloc
     0.01%  python   _datetime.cpython-311-x86_64-linux-gnu.so              [.] datetime_fromtimestamp
     0.01%  python   [unknown]                                              [k] 0xffffffff8549abc7
     0.01%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] PyUFunc_MultiplicationTypeResolver
     0.01%  python   python3.11                                             [.] dict_get
     0.01%  python   python3.11                                             [.] unicode_decode_utf8
     0.01%  python   libhdf5.so.1000.0.0                                    [.] H5I__register
     0.01%  python   python3.11                                             [.] make_gen
     0.01%  python   python3.11                                             [.] unicode_fromformat_write_str
     0.01%  python   python3.11                                             [.] PyObject_Hash
     0.01%  python   [unknown]                                              [k] 0xffffffff854579d6
     0.01%  python   python3.11                                             [.] _PyEvalFramePushAndInit
     0.01%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] array_asarray
     0.01%  python   libc.so.6                                              [.] _int_free
     0.01%  python   python3.11                                             [.] binary_iop
     0.01%  python   libc.so.6                                              [.] _dl_addr
     0.01%  python   [unknown]                                              [k] 0xffffffff8545cade
     0.01%  python   [unknown]                                              [k] 0xffffffff85432802


#
# (Cannot load tips.txt file, please install perf!)
#
