# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 13K of event 'cycles:u'
# Event count (approx.): 165629586928
#
# Overhead  Command  Shared Object                                          Symbol                                                                                                                                                     
# ........  .......  .....................................................  ...........................................................................................................................................................
#
     0.05%  python   python3.11                                             [.] PyNumber_Long
     0.05%  python   libmkl_def.so                                          [.] mkl_dft_def_owns_cFftFwd_Fact8_32fc
     0.05%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] PyArray_DiscoverDTypeAndShape_Recursive
     0.05%  python   python3.11                                             [.] PyLong_AsLongLong
     0.05%  python   libc.so.6                                              [.] _int_malloc
     0.05%  python   libc.so.6                                              [.] __memcmp_avx2_movbe
     0.05%  python   python3.11                                             [.] list_dealloc
     0.05%  python   python3.11                                             [.] sre_ucs1_match
     0.05%  python   libmkl_def.so                                          [.] mkl_dft_def_owns_initTabBitRevNorm
     0.05%  python   [unknown]                                              [k] 0xffffffff861d9bb7
     0.04%  python   python3.11                                             [.] update_one_slot
     0.04%  python   libc.so.6                                              [.] malloc
     0.04%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] CFLOAT_multiply_FMA3__AVX2
     0.04%  python   python3.11                                             [.] unicode_dealloc
     0.04%  python   python3.11                                             [.] func_traverse
     0.04%  python   python3.11                                             [.] _PyFunction_Vectorcall
     0.04%  python   liblal-8f7cb511.so.20.3.2                              [.] memmove@plt
     0.04%  python   libc.so.6                                              [.] __strcmp_avx2
     0.04%  python   libz.so.1.3.1                                          [.] inflate
     0.04%  python   python3.11                                             [.] _PyFrame_Clear
     0.04%  python   python3.11                                             [.] _PyObject_GenericSetAttrWithDict
     0.04%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] PyArray_PromoteTypes
     0.04%  python   python3.11                                             [.] subtype_dealloc
     0.03%  python   python3.11                                             [.] rangeiter_next
     0.03%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] binary_search_with_guess.part.0
     0.03%  python   python3.11                                             [.] initialize_locals
     0.03%  python   libhdf5.so.1000.0.0                                    [.] H5O__assert
     0.03%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] _new_sortlike
     0.03%  python   python3.11                                             [.] PyType_IsSubtype
     0.03%  python   ld-linux-x86-64.so.2                                   [.] _dl_find_dso_for_object
     0.03%  python   libhdf5.so.1000.0.0                                    [.] H5_hash_string
     0.03%  python   python3.11                                             [.] dict_dealloc
