-----------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
                         Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg    # of Calls  
-----------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
                    aten::mul        29.26%     483.957ms        29.27%     484.132ms       1.567ms           309  
                aten::addcmul        12.27%     202.905ms        12.27%     202.905ms       6.764ms            30  
                    aten::exp        10.88%     179.936ms        10.88%     179.936ms      59.979ms             3  
                    aten::pow         9.37%     154.964ms         9.37%     154.987ms       9.687ms            16  
                  aten::where         6.02%      99.629ms         6.03%      99.651ms       9.059ms            11  
                    aten::cat         5.70%      94.209ms         5.70%      94.330ms       8.575ms            11  
                  aten::copy_         5.38%      89.014ms         5.38%      89.014ms       7.418ms            12  
                  aten::fill_         5.23%      86.497ms         5.23%      86.497ms       7.208ms            12  
                    aten::add         4.95%      81.943ms         4.95%      81.943ms     819.427us           100  
                    aten::sub         3.65%      60.302ms         3.65%      60.302ms       1.675ms            36  
                    aten::neg         2.87%      47.529ms         2.87%      47.529ms       9.506ms             5  
                    aten::log         2.23%      36.825ms         2.23%      36.825ms       6.138ms             6  
                    aten::div         1.55%      25.630ms         1.55%      25.630ms     776.660us            33  
                     aten::lt         0.22%       3.700ms         0.22%       3.708ms     927.091us             4  
                     aten::ge         0.21%       3.445ms         0.21%       3.475ms     694.902us             5  
            aten::bitwise_and         0.02%     400.915us         0.02%     400.915us      44.546us             9  
                 aten::select         0.02%     307.336us         0.02%     359.956us       9.999us            36  
                    aten::abs         0.01%     241.733us         0.02%     384.829us       4.009us            96  
               aten::isfinite         0.01%     201.939us         0.05%     877.732us      18.286us            48  
                     aten::eq         0.01%     201.581us         0.01%     201.581us       2.964us            68  
                 aten::expand         0.01%     199.498us         0.01%     244.379us       2.777us            88  
          aten::empty_strided         0.01%     189.758us         0.01%     189.758us       8.250us            23  
            aten::bitwise_not         0.01%     187.348us         0.01%     187.348us       2.498us            75  
              aten::unsqueeze         0.01%     185.872us         0.01%     227.582us      11.978us            19  
                     aten::ne         0.01%     180.715us         0.01%     180.715us       3.765us            48  
             aten::as_strided         0.01%     156.848us         0.01%     156.848us       0.956us           164  
               aten::_to_copy         0.01%     131.027us         5.40%      89.262ms       7.438ms            12  
                  aten::empty         0.00%      72.134us         0.00%      72.134us       1.045us            69  
                     aten::to         0.00%      66.089us         5.40%      89.328ms     902.300us            99  
                aten::nonzero         0.00%      65.907us         0.00%      79.981us      13.330us             6  
                     aten::gt         0.00%      60.553us         0.00%      60.553us       4.325us            14  
                 aten::narrow         0.00%      56.135us         0.01%     121.378us       6.069us            20  
           aten::broadcast_to         0.00%      55.266us         0.01%     175.111us       3.648us            48  
                  aten::stack         0.00%      52.998us         0.03%     494.620us      54.958us             9  
                  aten::slice         0.00%      48.738us         0.00%      65.243us       3.262us            20  
-----------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 1.654s
