role,metric,sample_1,sample_2,sample_3,median,observed_min,observed_max
standard-baseline,full_wall_seconds,70.57059299200773,70.00074631604366,69.82245125598274,70.00074631604366,69.82245125598274,70.57059299200773
standard-baseline,internal_seconds,66.31576538085938,65.69822072982788,65.55899000167847,65.69822072982788,65.55899000167847,66.31576538085938
standard-baseline,setup_seconds,15.963272333145142,15.274919271469116,15.331096410751343,15.331096410751343,15.274919271469116,15.963272333145142
standard-baseline,outside_internal_seconds,4.254827611148357,4.302525586215779,4.263461254304275,4.263461254304275,4.254827611148357,4.302525586215779
standard-baseline,overhead_fraction,0.286494686909932,0.2796748018841892,0.28063405555926624,0.28063405555926624,0.2796748018841892,0.286494686909932
standard-baseline,template_seconds_per_wall_second,10360.349389196754,10444.688642304218,10471.35966795999,10444.688642304218,10360.349389196754,10471.35966795999
standard-baseline,templates_per_core_internal,11025.070672124471,11128.703211106209,11152.337764527507,11128.703211106209,11025.070672124471,11152.337764527507
standard-baseline,filter_rate_per_core_internal,0.07539685278884141,0.0761055618319041,0.07626719081352516,0.0761055618319041,0.07539685278884141,0.07626719081352516
standard-candidate,full_wall_seconds,67.99660472502,66.93342889798805,66.62933187896851,66.93342889798805,66.62933187896851,67.99660472502
standard-candidate,internal_seconds,63.412022829055786,62.386841773986816,62.087496757507324,62.386841773986816,62.087496757507324,63.412022829055786
standard-candidate,setup_seconds,13.248697519302368,11.996402740478516,12.040839910507202,12.040839910507202,11.996402740478516,13.248697519302368
standard-candidate,outside_internal_seconds,4.58458189596422,4.546587124001235,4.54183512146119,4.546587124001235,4.54183512146119,4.58458189596422
standard-candidate,overhead_fraction,0.2622672041844563,0.24715587019593158,0.2488795034308711,0.2488795034308711,0.24715587019593158,0.2622672041844563
standard-candidate,template_seconds_per_wall_second,10752.536879697635,10923.331017663988,10973.18522311016,10923.331017663988,10752.536879697635,10973.18522311016
standard-candidate,templates_per_core_internal,11529.92709239026,11719.394333964487,11775.897534660946,11719.394333964487,11529.92709239026,11775.897534660946
standard-candidate,filter_rate_per_core_internal,0.07884940074343393,0.08014510524693413,0.0805315121582096,0.08014510524693413,0.07884940074343393,0.0805315121582096
cpu-baseline,full_wall_seconds,107.64526122901589,107.06236450199503,107.06833899405319,107.06833899405319,107.06236450199503,107.64526122901589
cpu-baseline,internal_seconds,103.36353349685669,102.81179571151733,102.86686682701111,102.86686682701111,102.81179571151733,103.36353349685669
cpu-baseline,setup_seconds,15.435146331787111,15.053703546524048,15.178025484085083,15.178025484085083,15.053703546524048,15.435146331787111
cpu-baseline,outside_internal_seconds,4.281727732159197,4.2505687904777005,4.201472167042084,4.2505687904777005,4.201472167042084,4.281727732159197
cpu-baseline,overhead_fraction,0.18316527675099928,0.18030866800669273,0.18100119823660984,0.18100119823660984,0.18030866800669273,0.18316527675099928
cpu-baseline,template_seconds_per_wall_second,6792.087191320983,6829.066436192671,6828.685369263167,6828.685369263167,6792.087191320983,6829.066436192671
cpu-baseline,templates_per_core_internal,7073.442395641729,7111.4019061734525,7107.59472464088,7107.59472464088,7073.442395641729,7111.4019061734525
cpu-baseline,filter_rate_per_core_internal,0.0483729593101812,0.0486325519887781,0.048606515919342494,0.048606515919342494,0.0483729593101812,0.0486325519887781
cpu-candidate,full_wall_seconds,104.99540728796273,104.21241650497541,104.40019265795127,104.40019265795127,104.21241650497541,104.99540728796273
cpu-candidate,internal_seconds,100.43361353874207,99.69287085533142,99.90515470504761,99.90515470504761,99.69287085533142,100.43361353874207
cpu-candidate,setup_seconds,12.966487169265747,11.799012184143066,11.86305546760559,11.86305546760559,11.799012184143066,12.966487169265747
cpu-candidate,outside_internal_seconds,4.561793749220669,4.519545649643987,4.495037952903658,4.519545649643987,4.495037952903658,4.561793749220669
cpu-candidate,overhead_fraction,0.1669433108670455,0.15658938139111242,0.15668642944083105,0.15668642944083105,0.15658938139111242,0.1669433108670455
cpu-candidate,template_seconds_per_wall_second,6963.504584488826,7015.82426087484,7003.20546721056,7003.20546721056,6963.504584488826,7015.82426087484
cpu-candidate,templates_per_core_internal,7279.793828367689,7333.8844967257755,7318.301064229872,7318.301064229872,7279.793828367689,7333.8844967257755
cpu-candidate,filter_rate_per_core_internal,0.04978412927531737,0.050154037666903115,0.050047467668326226,0.050047467668326226,0.04978412927531737,0.050154037666903115
cuda-baseline,full_wall_seconds,25.537461236002855,24.706543380976655,24.786463222000748,24.786463222000748,24.706543380976655,25.537461236002855
cuda-baseline,internal_seconds,21.23642611503601,20.381632328033447,20.48030185699463,20.48030185699463,20.381632328033447,21.23642611503601
cuda-baseline,setup_seconds,14.134949684143066,13.290950059890747,13.378978967666624,13.378978967666624,13.290950059890747,14.134949684143066
cuda-baseline,outside_internal_seconds,4.301035120966844,4.324911052943207,4.306161365006119,4.306161365006119,4.301035120966844,4.324911052943207
cuda-baseline,overhead_fraction,0.7219192477566547,0.7130038727472364,0.7134999525456788,0.7134999525456788,0.7130038727472364,0.7219192477566547
cuda-baseline,template_seconds_per_wall_second,28629.94066807394,29592.808217881025,29497.391114317405,29497.391114317405,28629.94066807394,29592.808217881025
cuda-baseline,templates_per_core_internal,34428.39186026383,35872.29855944245,35699.473821490355,35699.473821490355,34428.39186026383,35872.29855944245
cuda-baseline,filter_rate_per_core_internal,0.23544451278738723,0.24531891850108908,0.2441370266372491,0.2441370266372491,0.23544451278738723,0.24531891850108908
cuda-candidate,full_wall_seconds,21.765735947992653,21.727497039013542,22.123756703920662,21.765735947992653,21.727497039013542,22.123756703920662
cuda-candidate,internal_seconds,17.19219470024109,17.11398434638977,17.550471305847168,17.19219470024109,17.11398434638977,17.550471305847168
