-----------------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg    # of Calls  
-----------------------  ------------  ------------  ------------  ------------  ------------  ------------  
         aten::_fft_c2c        53.61%        1.670s        60.15%        1.874s      14.639ms           128  
            aten::copy_        27.61%     860.058ms        27.61%     860.058ms       2.234ms           385  
           aten::argmax         6.02%     187.571ms         6.03%     187.760ms       1.647ms           114  
              aten::pow         5.21%     162.246ms         5.22%     162.617ms     713.232us           228  
              aten::mul         3.74%     116.521ms        15.62%     486.578ms     486.578ms             1  
              aten::cat         1.66%      51.750ms         1.66%      51.750ms      17.250ms             3  
              aten::add         1.41%      44.028ms         1.41%      44.028ms     386.209us           114  
            aten::slice         0.21%       6.500ms         0.26%       7.950ms       4.815us          1651  
       aten::as_strided         0.08%       2.579ms         0.08%       2.579ms       1.154us          2236  
            aten::index         0.06%       1.937ms         0.10%       3.067ms      26.908us           114  
           aten::arange         0.05%       1.686ms         0.11%       3.332ms      14.615us           228  
            aten::empty         0.04%       1.401ms         0.04%       1.401ms       5.788us           242  
           aten::select         0.04%       1.306ms         0.05%       1.476ms       6.475us           228  
     aten::view_as_real         0.04%       1.242ms         0.04%       1.242ms       5.447us           228  
         aten::fft_ifft         0.04%       1.132ms        60.19%        1.875s      14.648ms           128  
          aten::reshape         0.02%     709.885us         0.04%       1.206ms       3.378us           357  
      aten::as_strided_         0.02%     700.692us         0.02%     700.692us       5.474us           128  
           aten::square         0.02%     636.124us         5.24%     163.253ms     716.022us           228  
          aten::permute         0.02%     544.356us         0.03%     801.705us       6.263us           128  
             aten::real         0.02%     544.111us         0.06%       1.985ms      17.410us           114  
             aten::view         0.02%     512.916us         0.02%     512.916us       1.425us           360  
             aten::imag         0.01%     439.151us         0.06%       1.717ms      15.058us           114  
          aten::resize_         0.01%     353.670us         0.01%     353.670us       1.461us           242  
      aten::result_type         0.01%     199.100us         0.01%     199.100us       0.873us           228  
               aten::to         0.01%     174.779us         0.01%     174.779us       0.753us           232  
            aten::stack         0.00%     135.685us         1.66%      51.847ms      51.847ms             1  
           aten::narrow         0.00%     125.340us         0.01%     346.176us       3.037us           114  
            aten::split         0.00%     107.457us         0.01%     453.633us     453.633us             1  
    aten::empty_strided         0.00%      38.523us         0.00%      38.523us      38.523us             1  
            aten::clone         0.00%      30.637us        11.88%     370.057ms     370.057ms             1  
           aten::detach         0.00%       4.588us         0.00%       4.588us       1.147us             4  
     aten::resolve_conj         0.00%       0.592us         0.00%       0.592us       0.296us             2  
      aten::resolve_neg         0.00%       0.260us         0.00%       0.260us       0.130us             2  
-----------------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 3.115s
