# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 13K of event 'cycles:u'
# Event count (approx.): 176804251613
#
# Overhead  Command     Shared Object                                          Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
# ........  ..........  .....................................................  ...........................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
     0.07%  python      _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] PyArray_DiscoverDTypeAndShape_Recursive
     0.07%  python      libc.so.6                                              [.] malloc
     0.06%  python      python3.11                                             [.] tupledealloc
     0.06%  python      libmkl_def.so                                          [.] mkl_dft_def_owns_initTabTwdBase_32f
     0.06%  python      libmkl_def.so                                          [.] mkl_dft_def_owns_cFft_BlkMerge_64fc
     0.06%  python      libc.so.6                                              [.] __strlen_avx2
     0.06%  python      python3.11                                             [.] update_one_slot
     0.06%  python      libmkl_def.so                                          [.] mkl_dft_def_owns_initTabTwd_L1_64f
     0.06%  python      python3.11                                             [.] assemble
     0.06%  python      _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] _aligned_contig_to_strided_size4
     0.06%  python      _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] PyArray_Pack
     0.06%  python      python3.11                                             [.] PyNumber_Long
     0.05%  python      python3.11                                             [.] rangeiter_next
     0.05%  python      libc.so.6                                              [.] __memcmp_avx2_movbe
     0.05%  python      _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] CFLOAT_multiply_FMA3__AVX2
     0.05%  python      python3.11                                             [.] PyObject_GetAttr
     0.05%  python      python3.11                                             [.] type_getattro
     0.05%  python      ld-linux-x86-64.so.2                                   [.] _dl_find_dso_for_object
     0.05%  python      python3.11                                             [.] subtype_traverse
     0.05%  python      _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] npy_csqrtf
     0.05%  python      python3.11                                             [.] tupletraverse
     0.05%  python      python3.11                                             [.] r_object
     0.04%  python      libmkl_def.so                                          [.] mkl_dft_def_owns_cFftInv_Large_32fc
     0.04%  python      libmkl_def.so                                          [.] mkl_dft_def_owns_cRadix4Fwd_64fc
     0.04%  python      python3.11                                             [.] _PyObject_MakeTpCall
     0.04%  python      _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] PyArray_PromoteTypes
     0.04%  python      python3.11                                             [.] unicode_decode_utf8
     0.04%  python      python3.11                                             [.] list_extend
     0.04%  python      libc.so.6                                              [.] _int_free
     0.04%  python      libc10.so                                              [.] c10::runtimeDispatchKeySetHas(c10::DispatchKey, c10::DispatchKey)
     0.04%  python      _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] arr_interp
     0.04%  python      python3.11                                             [.] PyMem_Free
     0.04%  python      python3.11                                             [.] _PyType_AllocNoTrack
     0.04%  python      libc.so.6                                              [.] __memset_avx2_unaligned
     0.04%  python      python3.11                                             [.] PyObject_Vectorcall
     0.04%  python      [unknown]                                              [k] 0xffffffff861d9bb7
     0.04%  python      python3.11                                             [.] method_dealloc
     0.04%  python      python3.11                                             [.] unicode_dealloc
     0.04%  python      libmkl_def.so                                          [.] setup_twiddle
     0.04%  python      python3.11                                             [.] initialize_locals
     0.04%  python      _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] binary_search_with_guess.part.0
     0.04%  python      python3.11                                             [.] _PyObject_GetMethod
     0.04%  python      libc.so.6                                              [.] __memmove_avx_unaligned
     0.04%  python      python3.11                                             [.] func_traverse
     0.04%  python      libmkl_def.so                                          [.] compute_task_fwd
     0.04%  python      _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] discover_descriptor_from_pyint
     0.04%  python      python3.11                                             [.] PyLong_AsLong
     0.04%  python      _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] PyArray_AssignFromCache_Recursive
     0.04%  python      libc.so.6                                              [.] unlink_chunk.isra.0
     0.04%  python      libmkl_def.so                                          [.] mkl_dft_def_owns_cRadix4FwdNorm_32fc
     0.04%  python      python3.11                                             [.] object_new
     0.04%  python      [unknown]                                              [k] 0xffffffff8626bd40
     0.04%  python      libmkl_def.so                                          [.] initTabTwd_Step
     0.04%  python      ld-linux-x86-64.so.2                                   [.] do_lookup_x
     0.03%  python      python3.11                                             [.] siphash13
     0.03%  python      python3.11                                             [.] _PyCode_New
     0.03%  python      python3.11                                             [.] insertdict
     0.03%  python      python3.11                                             [.] _PyFunction_Vectorcall
     0.03%  python      libc.so.6                                              [.] malloc_consolidate
     0.03%  python      ld-linux-x86-64.so.2                                   [.] _dl_lookup_symbol_x
     0.03%  python      _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] CFLOAT_divide
     0.03%  python      python3.11                                             [.] PyDict_GetItemWithError
     0.03%  python      liblal-8f7cb511.so.20.3.2                              [.] memmove@plt
     0.03%  python      _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] CDOUBLE_multiply_FMA3__AVX2
     0.03%  python      _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] signed_integers_is_known_scalar_types
     0.03%  python      libmkl_def.so                                          [.] mkl_dft_def_owns_cFft_BlkSplit_64fc
     0.03%  python      python3.11                                             [.] list_traverse
     0.03%  python      python3.11                                             [.] PyErr_Occurred
     0.03%  python      python3.11                                             [.] convertsimple
     0.03%  python      python3.11                                             [.] subtype_dealloc
     0.03%  python      _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] update_shape
