# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 10K of event 'cycles:u' (time slices: 548190.994246801,548242.361700376)
# Event count (approx.): 131916619162
#
# Overhead  Command  Shared Object                                          Symbol                                                                                                                                                     
# ........  .......  .....................................................  ...........................................................................................................................................................
#
     0.02%  python   python3.11                                             [.] object_dealloc
     0.02%  python   libc.so.6                                              [.] __memcmp_avx2_movbe
     0.02%  python   [unknown]                                              [k] 0xffffffff8543269e
     0.02%  python   libc.so.6                                              [.] __memrchr_avx2
     0.02%  python   libc.so.6                                              [.] __memset_avx2_unaligned
     0.02%  python   python3.11                                             [.] _PyObject_GC_New
     0.02%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] PyArray_GetCastingImpl
     0.02%  python   [unknown]                                              [k] 0xffffffff854327d2
     0.02%  python   [unknown]                                              [k] 0xffffffff862549ee
     0.02%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] discover_dtype_from_pyobject
     0.01%  python   simd_threshold_cython.cpython-311-x86_64-linux-gnu.so  [.] _parallel_thresh_cluster(std::complex<float>*, unsigned int, std::complex<float>*, unsigned int*, float, unsigned int, unsigned int) [clone ._omp_fn.0]
     0.01%  python   libc.so.6                                              [.] _int_free
     0.01%  python   python3.11                                             [.] long_to_decimal_string_internal
     0.01%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] PyArray_PromoteDTypeSequence
     0.01%  python   simd_threshold_cython.cpython-311-x86_64-linux-gnu.so  [.] _windowed_max(std::complex<float>*, long, std::complex<float>*, float*, long*, long, long)
     0.01%  python   libhdf5.so.1000.0.0                                    [.] H5O_unprotect
     0.01%  python   python3.11                                             [.] cfunction_vectorcall_O
     0.01%  python   python3.11                                             [.] method_get
     0.01%  python   python3.11                                             [.] PyMem_Free
     0.01%  python   array_cpu.cpython-311-x86_64-linux-gnu.so              [.] __pyx_pw_5pycbc_5types_9array_cpu_47_scheme_matches_base_array(_object*, _object* const*, long, _object*)
     0.01%  python   python3.11                                             [.] PyList_New
     0.01%  python   chisq_cpu.cpython-311-x86_64-linux-gnu.so              [.] __Pyx_BufFmt_ProcessTypeChunk(__Pyx_BufFmt_Context*)
     0.01%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] PyArray_AssignArray
     0.01%  python   simd_threshold_cython.cpython-311-x86_64-linux-gnu.so  [.] __Pyx_CyFunction_Vectorcall_FASTCALL_KEYWORDS(_object*, _object* const*, unsigned long, _object*)
     0.01%  python   chisq_cpu.cpython-311-x86_64-linux-gnu.so              [.] __Pyx__GetBufferAndValidate(Py_buffer*, _object*, __Pyx_TypeInfo*, int, int, int, __Pyx_BufFmt_StackElem*) [clone .constprop.0]
     0.01%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] PyArray_MultiplyList
     0.01%  python   python3.11                                             [.] PyUnicode_FromWideChar
     0.01%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] PyArray_Pack
     0.01%  python   libmkl_def.so                                          [.] mkl_dft_def_ippsFFTInv_CToC_32fc
     0.01%  python   python3.11                                             [.] sys__getframe
     0.01%  python   python3.11                                             [.] PyLong_FromLong
     0.01%  python   python3.11                                             [.] buffered_flush
     0.01%  python   python3.11                                             [.] object_vacall
     0.01%  python   libc.so.6                                              [.] pthread_mutex_lock@@GLIBC_2.2.5
     0.01%  python   python3.11                                             [.] vgetargs1_impl
     0.01%  python   python3.11                                             [.] atom_rule.cold
     0.01%  python   python3.11                                             [.] PyNumber_Long
     0.01%  python   python3.11                                             [.] slot_sq_length
     0.01%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] _get_part
     0.01%  python   python3.11                                             [.] cfunction_vectorcall_FASTCALL_KEYWORDS
     0.01%  python   python3.11                                             [.] decode_current_locale
     0.01%  python   python3.11                                             [.] dict_merge
     0.01%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] DOUBLE_isfinite_SSE41
     0.01%  python   libc.so.6                                              [.] _int_free_merge_chunk
     0.01%  python   libc.so.6                                              [.] __wcslen_avx2
     0.01%  python   libc.so.6                                              [.] clock_gettime@@GLIBC_2.17
     0.01%  python   decompress_cpu_cython.cpython-311-x86_64-linux-gnu.so  [.] __Pyx_BufFmt_ProcessTypeChunk(__Pyx_BufFmt_Context*)
     0.01%  python   libc.so.6                                              [.] __tzfile_compute
     0.01%  python   python3.11                                             [.] type_module
     0.01%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] get_wrapped_legacy_ufunc_loop
     0.01%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] PyArray_ExtractDTypeAndDescriptor
     0.01%  python   libc.so.6                                              [.] memcpy@GLIBC_2.2.5
     0.01%  python   python3.11                                             [.] subtype_dict
     0.01%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] get_view_from_index
     0.01%  python   python3.11                                             [.] _Py_EnterRecursiveCall.lto_priv.2
     0.01%  python   python3.11                                             [.] PyUnicode_Format
     0.01%  python   libc.so.6                                              [.] pthread_cond_signal@@GLIBC_2.3.2
     0.01%  python   libz.so.1.3.1                                          [.] inflate_fast
     0.01%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] double_arrtype_new
     0.01%  python   [unknown]                                              [k] 0xffffffff85211af8
     0.01%  python   python3.11                                             [.] _PyFunction_Vectorcall
     0.01%  python   python3.11                                             [.] _PyDict_Next
     0.01%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] is_anyscalar_exact
     0.01%  python   libhdf5.so.1000.0.0                                    [.] __subvdi3
     0.01%  python   libhdf5.so.1000.0.0                                    [.] H5C__flush_single_entry
     0.01%  python   _datetime.cpython-311-x86_64-linux-gnu.so              [.] new_datetime_ex2
