----------------------  ------------  ------------  ------------  ------------  ------------  ------------  
                  Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg    # of Calls  
----------------------  ------------  ------------  ------------  ------------  ------------  ------------  
             aten::sum        55.42%      25.703ms        76.96%      35.690ms      35.690ms             1  
           aten::fill_        21.53%       9.984ms        21.53%       9.984ms       9.984ms             1  
          aten::argmax        12.78%       5.926ms        12.79%       5.930ms       5.930ms             1  
             aten::pow         9.92%       4.600ms         9.93%       4.604ms       4.604ms             1  
          aten::arange         0.06%      26.239us         0.12%      54.001us      27.001us             2  
           aten::index         0.06%      26.239us         0.09%      42.831us      42.831us             1  
      aten::as_strided         0.04%      18.256us         0.04%      18.256us       4.564us             4  
            aten::view         0.03%      14.127us         0.03%      14.127us       4.709us             3  
          aten::detach         0.03%      13.226us         0.03%      13.226us       2.204us             6  
          aten::square         0.03%      12.394us         9.95%       4.616ms       4.616ms             1  
           aten::slice         0.03%      12.053us         0.03%      15.710us      15.710us             1  
    aten::view_as_real         0.02%      10.159us         0.02%      10.159us      10.159us             1  
         aten::reshape         0.02%       9.898us         0.05%      24.025us       8.008us             3  
              aten::to         0.02%       7.415us         0.02%       7.415us       1.236us             6  
         aten::resize_         0.01%       3.807us         0.01%       3.807us       3.807us             1  
           aten::empty         0.01%       3.707us         0.01%       3.707us       3.707us             1  
     aten::result_type         0.00%       2.194us         0.00%       2.194us       2.194us             1  
    aten::resolve_conj         0.00%       1.743us         0.00%       1.743us       0.581us             3  
     aten::resolve_neg         0.00%       0.491us         0.00%       0.491us       0.164us             3  
----------------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 46.376ms
