# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cycles:u' (time slices: 548702.389501264,548709.610634503)
# Event count (approx.): 18118097312
#
# Overhead  Command  Shared Object                                      Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
# ........  .......  .................................................  ...............................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
     0.22%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so  [.] PyArray_NewFromDescr_int
     0.22%  python   libcuda.so.610.57.04                               [.] 0x00000000002710d6
     0.22%  python   libc.so.6                                          [.] pthread_rwlock_rdlock@GLIBC_2.2.5
     0.22%  python   libhdf5.so.1000.0.0                                [.] H5_hash_string
     0.22%  python   python3.11                                         [.] insertdict
     0.22%  python   libc.so.6                                          [.] __memmove_avx_unaligned_erms
     0.22%  python   libtorch_cpu.so                                    [.] c10::intrusive_ptr<c10::TensorImpl, c10::UndefinedTensorImpl>::reset_not_null_(c10::TensorImpl*)
     0.22%  python   python3.11                                         [.] _PyFrame_Clear
     0.22%  python   libcuda.so.610.57.04                               [.] 0x000000000135f219
     0.22%  python   libcuda.so.610.57.04                               [.] 0x0000000000299503
     0.22%  python   libtorch_cpu.so                                    [.] at::TensorIteratorBase::is_contiguous() const
     0.22%  python   libtorch_python.so                                 [.] torch::utils::(anonymous namespace)::internal_new_from_data(c10::TensorOptions, c10::ScalarType, std::optional<c10::Device>, _object*, bool, bool, bool, bool)
     0.22%  python   [vdso]                                             [.] 0x0000000000000b2b
     0.22%  python   libc10.so                                          [.] c10::get_default_dtype_as_scalartype()
     0.22%  python   libcuda.so.610.57.04                               [.] 0x0000000000458ce4
     0.22%  python   libtorch_cpu.so                                    [.] at::_ops::as_strided::call(at::Tensor const&, c10::ArrayRef<c10::SymInt>, c10::ArrayRef<c10::SymInt>, std::optional<c10::SymInt>)
     0.22%  python   libz.so.1.3.1                                      [.] inflate_table
     0.22%  python   libtorch_python.so                                 [.] torch::check_has_torch_function(_object*, bool)
     0.22%  python   python3.11                                         [.] method_get
     0.22%  python   libtorch_cpu.so                                    [.] at::TensorIteratorBase::populate_operands(at::TensorIteratorConfig&)
     0.22%  python   libtorch_cpu.so                                    [.] at::native::fill_out(at::Tensor&, c10::Scalar const&)
     0.22%  python   libstdc++.so.6.0.32                                [.] operator new(unsigned long)
     0.22%  python   libc10_cuda.so                                     [.] c10::cuda::CUDACachingAllocator::Native::(anonymous namespace)::Block::~Block()
     0.21%  python   python3.11                                         [.] insert_to_emptydict
     0.21%  python   libc10_cuda.so                                     [.] c10::cuda::getCurrentCUDAStream(signed char)
     0.21%  python   libc.so.6                                          [.] __errno_location
     0.21%  python   libc.so.6                                          [.] _int_free
     0.21%  python   python3.11                                         [.] new_dict
     0.21%  python   libc10_cuda.so                                     [.] std::pair<std::_Rb_tree_iterator<c10::cuda::CUDACachingAllocator::Native::(anonymous namespace)::Block*>, bool> std::_Rb_tree<c10::cuda::CUDACachingAllocator::Native::(anonymous namespace)::Block*, c10::cuda::CUDACachingAllocator::Native::(anonymous namespace)::Block*, std::_Identity<c10::cuda::CUDACachingAllocator::Native::(anonymous namespace)::Block*>, bool (*)(c10::cuda::CUDACachingAllocator::Native::(anonymous namespace)::Block const*, c10::cuda::CUDACachingAllocator::Native::(anonymous namespace)::Block const*), std::allocator<c10::cuda::CUDACachingAllocator::Native::(anonymous namespace)::Block*> >::_M_insert_unique<c10::cuda::CUDACachingAllocator::Native::(anonymous namespace)::Block* const&>(c10::cuda::CUDACachingAllocator::Native::(anonymous namespace)::Block* const&)
     0.21%  python   libtorch_cpu.so                                    [.] c10::TensorImpl::set_sizes_and_strides(c10::ArrayRef<long>, c10::ArrayRef<long>, std::optional<long>) [clone .isra.0]
     0.20%  python   libc.so.6                                          [.] pthread_rwlock_wrlock@@GLIBC_2.34
     0.16%  python   libcuda.so.610.57.04                               [.] 0x00000000003f06da
     0.15%  python   libc10.so                                          [.] __tls_get_addr@plt
     0.15%  python   libc.so.6                                          [.] pthread_getspecific@@GLIBC_2.34
     0.15%  python   python3.11                                         [.] _PyLong_New
     0.15%  python   libc10.so                                          [.] c10::impl::ExcludeDispatchKeyGuard::ExcludeDispatchKeyGuard(c10::DispatchKeySet)
     0.15%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so  [.] _npy_parse_arguments
     0.15%  python   python3.11                                         [.] method_vectorcall_VARARGS_KEYWORDS
     0.15%  python   libtorch_cpu.so                                    [.] torch::ADInplaceOrView::(anonymous namespace)::slice_Tensor(c10::DispatchKeySet, at::Tensor const&, long, std::optional<c10::SymInt>, std::optional<c10::SymInt>, c10::SymInt)
     0.15%  python   python3.11                                         [.] _PyObject_GC_New
     0.15%  python   python3.11                                         [.] object_isinstance
     0.15%  python   libc.so.6                                          [.] __parse_one_specmb
     0.15%  python   libcudart.so.13                                    [.] pthread_once@plt
     0.15%  python   libc10.so                                          [.] c10::TensorImpl::TensorImpl(c10::Storage&&, c10::DispatchKeySet, caffe2::TypeMeta)
     0.15%  python   libhdf5.so.1000.0.0                                [.] H5SL_first
     0.15%  python   libcuda.so.610.57.04                               [.] 0x00000000002710d9
     0.15%  python   libc10_cuda.so                                     [.] c10::cuda::CUDACachingAllocator::Native::DeviceCachingAllocator::try_merge_blocks(c10::cuda::CUDACachingAllocator::Native::(anonymous namespace)::Block*, c10::cuda::CUDACachingAllocator::Native::(anonymous namespace)::Block*, c10::cuda::CUDACachingAllocator::Native::(anonymous namespace)::BlockPool&) [clone .isra.0]
     0.15%  python   libtorch_cpu.so                                    [.] at::getStepCallbacksUnlessEmpty(at::RecordScope)
     0.15%  python   libcuda.so.610.57.04                               [.] 0x00000000002710bf
     0.15%  python   python3.11                                         [.] unicode_decode_utf8
     0.15%  python   libcuda.so.610.57.04                               [.] 0x0000000000287087
     0.15%  python   [vdso]                                             [.] 0x0000000000000b7f
     0.15%  python   libcuda.so.610.57.04                               [.] 0x0000000000287062
     0.15%  python   libhdf5.so.1000.0.0                                [.] H5C__load_entry
     0.15%  python   libc10.so                                          [.] c10::SymInt::guard_int(char const*, long) const
     0.14%  python   python3.11                                         [.] PyThread_tss_get
     0.14%  python   libcuda.so.610.57.04                               [.] 0x00000000002c74dc
     0.14%  python   python3.11                                         [.] PyType_GenericAlloc
     0.14%  python   python3.11                                         [.] _PyErr_NormalizeException
     0.14%  python   libtorch_cuda.so                                   [.] at::cuda::getCUDADeviceAllocator()
     0.14%  python   libtorch_cpu.so                                    [.] torch::jit::tracer::getTracingState()
     0.14%  python   libtorch_cpu.so                                    [.] at::get_overlap_status(c10::TensorImpl const*, c10::TensorImpl const*)
     0.14%  python   python3.11                                         [.] list_dealloc
     0.14%  python   libcuda.so.610.57.04                               [.] 0x000000000035c4ae
     0.14%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so  [.] _typenum_fromtypeobj
     0.14%  python   libhdf5.so.1000.0.0                                [.] H5SL_search
     0.14%  python   python3.11                                         [.] subtype_dealloc
     0.14%  python   libtorch_cpu.so                                    [.] at::_ops::_to_copy::call(at::Tensor const&, std::optional<c10::ScalarType>, std::optional<c10::Layout>, std::optional<c10::Device>, std::optional<bool>, bool, std::optional<c10::MemoryFormat>)
     0.14%  python   python3.11                                         [.] _PyObject_LookupSpecial
     0.14%  python   libtorch_cpu.so                                    [.] c10::intrusive_ptr<c10::StorageImpl, c10::detail::intrusive_target_default_null_type<c10::StorageImpl> >::reset_not_null_(c10::StorageImpl*)
     0.14%  python   libcudart.so.13                                    [.] 0x000000000003dd03
     0.14%  python   libtorch_cuda.so                                   [.] at::native::copy_device_to_device(at::TensorIterator&, bool, bool)
     0.14%  python   libtorch_cpu.so                                    [.] at::globalContext()
     0.14%  python   libc10.so                                          [.] c10::InferenceMode::is_enabled()
     0.14%  python   libcuda.so.610.57.04                               [.] 0x000000000028706d
     0.14%  python   python3.11                                         [.] _Py_Dealloc
     0.14%  python   libtorch_cpu.so                                    [.] at::_ops::copy_::call(at::Tensor&, at::Tensor const&, bool)
     0.14%  python   libtorch_python.so                                 [.] THPDevice_type(THPDevice*, _object*)
     0.14%  python   python3.11                                         [.] PyContextVar_Get
     0.14%  python   libcuda.so.610.57.04                               [.] 0x00000000002c7496
     0.14%  python   libc.so.6                                          [.] __strchr_avx2
     0.14%  python   python3.11                                         [.] PyTuple_New
     0.14%  python   libc10_cuda.so                                     [.] c10::cuda::CUDACachingAllocator::Native::(anonymous namespace)::BlockComparatorAddress(c10::cuda::CUDACachingAllocator::Native::(anonymous namespace)::Block const*, c10::cuda::CUDACachingAllocator::Native::(anonymous namespace)::Block const*)
     0.14%  python   libtorch_python.so                                 [.] torch::utils::store_scalar(void*, c10::ScalarType, _object*)
     0.14%  python   libc10_cuda.so                                     [.] c10::cuda::get_p2p_access(signed char, signed char)
     0.14%  python   python3.11                                         [.] builtin_issubclass
     0.14%  python   libtorch_cpu.so                                    [.] at::native::view(at::Tensor const&, c10::ArrayRef<long>)
     0.14%  python   _objects.cpython-311-x86_64-linux-gnu.so           [.] __pyx_pw_4h5py_8_objects_9with_phil_1wrapper
     0.14%  python   libcudart.so.13                                    [.] cudaMemcpyAsync
     0.14%  python   [vdso]                                             [.] 0x0000000000000af7
     0.14%  python   libcudart.so.13                                    [.] 0x0000000000026e3f
     0.14%  python   libcuda.so.610.57.04                               [.] cuCtxGetDevice_v2
     0.14%  python   python3.11                                         [.] PyImport_Import
     0.14%  python   libcufile.so.0                                     [.] operator delete(void*, unsigned long)
     0.14%  python   libtorch_cpu.so                                    [.] torch::autograd::DifferentiableViewMeta::DifferentiableViewMeta(c10::TensorImpl*, std::optional<torch::autograd::ViewInfo>, std::optional<torch::autograd::ViewInfo>, bool, torch::autograd::CreationMeta)
     0.14%  python   libtorch_cuda.so                                   [.] void at::native::gpu_reduce_kernel<c10::complex<float>, c10::complex<float>, 4, 4, at::native::func_wrapper_t<c10::complex<float>, __nv_hdl_wrapper_t<false, true, false, __nv_dl_tag<void (at::native::sum_functor<c10::complex<float>, c10::complex<float>, c10::complex<float> >::*)(at::TensorIterator&), &at::native::sum_functor<c10::complex<float>, c10::complex<float>, c10::complex<float> >::operator(), 1u>, c10::complex<float> (c10::complex<float>, c10::complex<float>)> >, double>(at::TensorIterator&, at::native::func_wrapper_t<c10::complex<float>, __nv_hdl_wrapper_t<false, true, false, __nv_dl_tag<void (at::native::sum_functor<c10::complex<float>, c10::complex<float>, c10::complex<float> >::*)(at::TensorIterator&), &at::native::sum_functor<c10::complex<float>, c10::complex<float>, c10::complex<float> >::operator(), 1u>, c10::complex<float> (c10::complex<float>, c10::complex<float>)> > const&, double, at::native::AccumulationBuffer*, long) [clone .isra.0]
     0.14%  python   libtorch_python.so                                 [.] torch::FunctionParameter::_check(_object*, std::vector<_object*, std::allocator<_object*> >&, int, pybind11::object*)
     0.14%  python   libtorch_cpu.so                                    [.] at::TensorIteratorConfig::is_tensor_const(unsigned long)
     0.14%  python   python3.11                                         [.] PyDict_GetItemWithError
     0.14%  python   python3.11                                         [.] dict_subscript
     0.14%  python   python3.11                                         [.] PyEval_AcquireThread
     0.14%  python   libhdf5.so.1000.0.0                                [.] H5FL_reg_malloc
     0.14%  python   libcuda.so.610.57.04                               [.] 0x00000000001c46c9
     0.14%  python   libc10_cuda.so                                     [.] std::pair<ska::detailv3::sherwood_v3_table<c10::cuda::CUDACachingAllocator::Native::(anonymous namespace)::Block*, c10::cuda::CUDACachingAllocator::Native::(anonymous namespace)::Block*, std::hash<c10::cuda::CUDACachingAllocator::Native::(anonymous namespace)::Block*>, ska::detailv3::functor_storage<unsigned long, std::hash<c10::cuda::CUDACachingAllocator::Native::(anonymous namespace)::Block*> >, std::equal_to<c10::cuda::CUDACachingAllocator::Native::(anonymous namespace)::Block*>, ska::detailv3::functor_storage<bool, std::equal_to<c10::cuda::CUDACachingAllocator::Native::(anonymous namespace)::Block*> >, std::allocator<c10::cuda::CUDACachingAllocator::Native::(anonymous namespace)::Block*>, std::allocator<ska::detailv3::sherwood_v3_entry<c10::cuda::CUDACachingAllocator::Native::(anonymous namespace)::Block*> > >::templated_iterator<c10::cuda::CUDACachingAllocator::Native::(anonymous namespace)::Block*>, bool> ska::detailv3::sherwood_v3_table<c10::cuda::CUDACachingAllocator::Native::(anonymous namespace)::Block*, c10::cuda::CUDACachingAllocator::Native::(anonymous namespace)::Block*, std::hash<c10::cuda::CUDACachingAllocator::Native::(anonymous namespace)::Block*>, ska::detailv3::functor_storage<unsigned long, std::hash<c10::cuda::CUDACachingAllocator::Native::(anonymous namespace)::Block*> >, std::equal_to<c10::cuda::CUDACachingAllocator::Native::(anonymous namespace)::Block*>, ska::detailv3::functor_storage<bool, std::equal_to<c10::cuda::CUDACachingAllocator::Native::(anonymous namespace)::Block*> >, std::allocator<c10::cuda::CUDACachingAllocator::Native::(anonymous namespace)::Block*>, std::allocator<ska::detailv3::sherwood_v3_entry<c10::cuda::CUDACachingAllocator::Native::(anonymous namespace)::Block*> > >::emplace<c10::cuda::CUDACachingAllocator::Native::(anonymous namespace)::Block* const&>(c10::cuda::CUDACachingAllocator::Native::(anonymous namespace)::Block* const&)
     0.14%  python   python3.11                                         [.] dictresize
     0.14%  python   libcuda.so.610.57.04                               [.] 0x00000000002710a8
     0.14%  python   python3.11                                         [.] property_descr_get
     0.14%  python   libcuda.so.610.57.04                               [.] 0x00000000001be04b
     0.14%  python   libc10_cuda.so                                     [.] c10::cuda::GetDevice(signed char*)
     0.14%  python   python3.11                                         [.] dict_repr
     0.14%  python   libc10.so                                          [.] c10::alloc_cpu(unsigned long)
     0.14%  python   python3.11                                         [.] enum_next
     0.14%  python   libtorch_cpu.so                                    [.] at::TensorIteratorBase::build(at::TensorIteratorConfig&)
     0.14%  python   [vdso]                                             [.] 0x0000000000000b11
     0.14%  python   libcuda.so.610.57.04                               [.] cuMemcpyHtoDAsync_v2
     0.14%  python   libtorch_cpu.so                                    [.] c10::SymInt::operator*(c10::SymInt const&) const
     0.14%  python   libc10_cuda.so                                     [.] c10::cuda::CUDACachingAllocator::Native::(anonymous namespace)::BlockComparatorSizeCounterAddress(c10::cuda::CUDACachingAllocator::Native::(anonymous namespace)::Block const*, c10::cuda::CUDACachingAllocator::Native::(anonymous namespace)::Block const*)
     0.14%  python   libcuda.so.610.57.04                               [.] 0x0000000000453dea
     0.14%  python   libtorch_python.so                                 [.] torch::autograd::THPVariable_getitem(_object*, _object*)
     0.14%  python   libc.so.6                                          [.] __memmove_avx_unaligned
     0.14%  python   libtorch_cpu.so                                    [.] c10::TensorImpl::set_sizes_and_strides(c10::ArrayRef<long>, c10::ArrayRef<long>, std::optional<long>) [clone .isra.0]
     0.14%  python   libtorch_cpu.so                                    [.] at::assert_no_internal_overlap(c10::TensorImpl*)
     0.14%  python   libc10_cuda.so                                     [.] c10::cuda::CUDACachingAllocator::Native::DeviceCachingAllocator::alloc_found_block(c10::cuda::CUDACachingAllocator::Native::(anonymous namespace)::AllocParams const&, unsigned long, std::shared_ptr<c10::GatheredContext>, bool)
     0.14%  python   libtorch_cpu.so                                    [.] c10::SymInt::release_() [clone .isra.0]
     0.14%  python   libtorch_cpu.so                                    [.] at::_ops::empty_memory_format::redispatch(c10::DispatchKeySet, c10::ArrayRef<c10::SymInt>, std::optional<c10::ScalarType>, std::optional<c10::Layout>, std::optional<c10::Device>, std::optional<bool>, std::optional<c10::MemoryFormat>)
     0.14%  python   libc10.so                                          [.] c10::TensorImpl::_fw_grad(unsigned long, at::TensorBase const&) const
     0.14%  python   libcuda.so.610.57.04                               [.] 0x00000000002710bb
     0.14%  python   python3.11                                         [.] vgetargs1_impl
     0.14%  python   libtorch_cuda.so                                   [.] at::(anonymous namespace)::structured_index_out_functional::set_output_raw_strided(long, c10::ArrayRef<long>, c10::ArrayRef<long>, c10::TensorOptions)
     0.14%  python   libc10.so                                          [.] c10::TensorImpl::~TensorImpl()
     0.14%  python   libc10_cuda.so                                     [.] c10::cuda::(anonymous namespace)::check_gpu(signed char)
     0.14%  python   libtorch_cuda.so                                   [.] at::detail::empty_cuda(c10::ArrayRef<long>, c10::ScalarType, std::optional<c10::Device>, std::optional<c10::MemoryFormat>)
     0.14%  python   libtorch_cpu.so                                    [.] at::TensorIteratorBase::compute_fast_setup_type(at::TensorIteratorConfig const&)
     0.14%  python   libtorch_cpu.so                                    [.] at::native::DispatchStubImpl::try_get_call_ptr(c10::DeviceType, void*, void*, void*)
     0.14%  python   libtorch_python.so                                 [.] torch::PyWarningHandler::~PyWarningHandler()
     0.14%  python   libtorch_cuda.so                                   [.] c10::impl::InlineDeviceGuard<c10::impl::VirtualGuardImpl>::InlineDeviceGuard(c10::Device)
     0.14%  python   libcuda.so.610.57.04                               [.] 0x00000000002f2552
     0.13%  python   python3.11                                         [.] PyUnicode_Substring
     0.08%  python   libtorch_cpu.so                                    [.] torch::autograd::ViewInfo::chain(at::Tensor const&, at::Tensor const&, std::unique_ptr<torch::autograd::ViewFunc, std::default_delete<torch::autograd::ViewFunc> >, std::function<at::Tensor (at::Tensor const&)>) const
     0.08%  python   python3.11                                         [.] method_vectorcall
     0.08%  python   libcudart.so.13                                    [.] 0x0000000000036bf3
     0.08%  python   libtorch_python.so                                 [.] c10::intrusive_ptr<c10::TensorImpl, c10::UndefinedTensorImpl>::reset_not_null_(c10::TensorImpl*)
     0.08%  python   libtorch_cpu.so                                    [.] at::TensorIteratorBase::mark_outputs()
     0.08%  python   libcuda.so.610.57.04                               [.] 0x000000000021d096
     0.08%  python   libcuda.so.610.57.04                               [.] 0x00000000001c76e1
     0.07%  python   h5t.cpython-311-x86_64-linux-gnu.so                [.] __Pyx_PyObject_FastCallDict.constprop.0
     0.07%  python   python3.11                                         [.] convertsimple
     0.07%  python   libtorch_cuda.so                                   [.] at::native::conj_kernel_cuda(at::TensorIteratorBase&)
     0.07%  python   libm.so.6                                          [.] pow@GLIBC_2.2.5
     0.07%  python   libcuda.so.610.57.04                               [.] 0x0000000000273b83
     0.07%  python   libtorch_cpu.so                                    [.] at::TensorIteratorBase::coalesce_dimensions()
     0.07%  python   python3.11                                         [.] _PyLong_Frexp
     0.07%  python   libcuda.so.610.57.04                               [.] 0x00000000001bb77e
     0.07%  python   libtorch_python.so                                 [.] GetterBase<PropertyReal>::getter(THPVariable*, void*)
     0.07%  python   python3.11                                         [.] long_richcompare
     0.07%  python   libtorch_cpu.so                                    [.] c10::impl::wrap_kernel_functor_unboxed_<c10::impl::detail::WrapFunctionIntoFunctor_<c10::CompileTimeFunctionPointer<at::Tensor (at::Tensor const&, std::optional<c10::ScalarType>, std::optional<c10::Layout>, std::optional<c10::Device>, std::optional<bool>, bool, std::optional<c10::MemoryFormat>), &at::(anonymous namespace)::_to_copy>, at::Tensor, c10::guts::typelist::typelist<at::Tensor const&, std::optional<c10::ScalarType>, std::optional<c10::Layout>, std::optional<c10::Device>, std::optional<bool>, bool, std::optional<c10::MemoryFormat> > >, at::Tensor (at::Tensor const&, std::optional<c10::ScalarType>, std::optional<c10::Layout>, std::optional<c10::Device>, std::optional<bool>, bool, std::optional<c10::MemoryFormat>)>::call(c10::OperatorKernel*, c10::DispatchKeySet, at::Tensor const&, std::optional<c10::ScalarType>, std::optional<c10::Layout>, std::optional<c10::Device>, std::optional<bool>, bool, std::optional<c10::MemoryFormat>)
     0.07%  python   libc.so.6                                          [.] __strnlen_avx2
     0.07%  python   libcudart.so.13                                    [.] 0x000000000003cc53
     0.07%  python   libhdf5.so.1000.0.0                                [.] H5T_close
     0.07%  python   libtorch_cuda.so                                   [.] c10::impl::wrap_kernel_functor_unboxed_<c10::impl::detail::WrapFunctionIntoFunctor_<c10::CompileTimeFunctionPointer<at::Tensor (c10::ArrayRef<c10::SymInt>, c10::ArrayRef<c10::SymInt>, std::optional<c10::ScalarType>, std::optional<c10::Layout>, std::optional<c10::Device>, std::optional<bool>), &at::(anonymous namespace)::(anonymous namespace)::wrapper_CUDA__empty_strided>, at::Tensor, c10::guts::typelist::typelist<c10::ArrayRef<c10::SymInt>, c10::ArrayRef<c10::SymInt>, std::optional<c10::ScalarType>, std::optional<c10::Layout>, std::optional<c10::Device>, std::optional<bool> > >, at::Tensor (c10::ArrayRef<c10::SymInt>, c10::ArrayRef<c10::SymInt>, std::optional<c10::ScalarType>, std::optional<c10::Layout>, std::optional<c10::Device>, std::optional<bool>)>::call(c10::OperatorKernel*, c10::DispatchKeySet, c10::ArrayRef<c10::SymInt>, c10::ArrayRef<c10::SymInt>, std::optional<c10::ScalarType>, std::optional<c10::Layout>, std::optional<c10::Device>, std::optional<bool>)
     0.07%  python   libcuda.so.610.57.04                               [.] 0x000000000132e240
     0.07%  python   libcuda.so.610.57.04                               [.] 0x0000000001336050
     0.07%  python   libtorch_cpu.so                                    [.] c10::SymInt::release_() [clone .isra.0]
