# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 4K of event 'cycles:u'
# Event count (approx.): 57353535767
#
# Overhead  Command  Shared Object                                      Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
# ........  .......  .................................................  ...............................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
     0.16%  python   libc10_cuda.so                                     [.] std::_Rb_tree<c10::cuda::CUDACachingAllocator::Native::(anonymous namespace)::Block*, c10::cuda::CUDACachingAllocator::Native::(anonymous namespace)::Block*, std::_Identity<c10::cuda::CUDACachingAllocator::Native::(anonymous namespace)::Block*>, bool (*)(c10::cuda::CUDACachingAllocator::Native::(anonymous namespace)::Block const*, c10::cuda::CUDACachingAllocator::Native::(anonymous namespace)::Block const*), std::allocator<c10::cuda::CUDACachingAllocator::Native::(anonymous namespace)::Block*> >::erase(c10::cuda::CUDACachingAllocator::Native::(anonymous namespace)::Block* const&)
     0.16%  python   libcuda.so.610.57.04                               [.] 0x0000000000458d1a
     0.16%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so  [.] LONG_setitem
     0.16%  python   python3.11                                         [.] _PyObject_MakeTpCall
     0.15%  python   python3.11                                         [.] find_name_in_mro
     0.15%  python   python3.11                                         [.] list_dealloc
     0.15%  python   libm.so.6                                          [.] powf@GLIBC_2.2.5
     0.15%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so  [.] npy_csqrtf
     0.15%  python   python3.11                                         [.] siphash13
     0.14%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so  [.] arr_interp
     0.14%  python   libcuda.so.610.57.04                               [.] 0x000000000035c4c1
     0.14%  python   libc.so.6                                          [.] __memset_avx2_unaligned_erms
     0.14%  python   ld-linux-x86-64.so.2                               [.] __tls_get_addr
     0.14%  python   libcuda.so.610.57.04                               [.] 0x0000000000458d27
     0.14%  python   libtorch_cpu.so                                    [.] c10::impl::OperatorEntry::lookup(c10::DispatchKeySet) const
     0.13%  python   libc.so.6                                          [.] __strlen_avx2
     0.13%  python   python3.11                                         [.] bitwise_or_rule
     0.13%  python   libc.so.6                                          [.] _int_free
     0.13%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so  [.] PyArray_DescrFromType
     0.13%  python   python3.11                                         [.] listiter_next
     0.12%  python   python3.11                                         [.] unicode_dealloc
     0.12%  python   python3.11                                         [.] initialize_locals
     0.12%  python   python3.11                                         [.] tok_get
     0.12%  python   libmkl_def.so                                      [.] mkl_dft_def_owns_cBitRev1_Blk
     0.12%  python   libcuda.so.610.57.04                               [.] 0x0000000000458e6b
     0.12%  python   python3.11                                         [.] PyTuple_New
     0.11%  python   libcuda.so.610.57.04                               [.] 0x0000000001334bb0
     0.11%  python   libcuda.so.610.57.04                               [.] 0x000000000041b497
     0.11%  python   libcuda.so.610.57.04                               [.] 0x0000000000457a3d
     0.11%  python   libc.so.6                                          [.] pthread_rwlock_unlock@@GLIBC_2.34
     0.11%  python   libtorch_cpu.so                                    [.] at::native::copy_impl(at::Tensor&, at::Tensor const&, bool) [clone .isra.0]
     0.11%  python   python3.11                                         [.] subtype_traverse
     0.11%  python   python3.11                                         [.] _PyType_AllocNoTrack
     0.11%  python   ld-linux-x86-64.so.2                               [.] _dl_lookup_symbol_x
     0.11%  python   python3.11                                         [.] tupletraverse
     0.11%  python   python3.11                                         [.] PyObject_Vectorcall
     0.11%  python   python3.11                                         [.] type_traverse
     0.11%  python   libc.so.6                                          [.] __strchr_avx2
     0.11%  python   libc.so.6                                          [.] unlink_chunk.isra.0
     0.11%  python   libhdf5.so.1000.0.0                                [.] H5I__find_id
     0.11%  python   python3.11                                         [.] insertdict
     0.10%  python   libc.so.6                                          [.] memcpy@GLIBC_2.2.5
     0.10%  python   libtorch_cpu.so                                    [.] std::_Sp_counted_base<(__gnu_cxx::_Lock_policy)2>::_M_release()
     0.10%  python   libc10.so                                          [.] c10::runtimeDispatchKeySetHas(c10::DispatchKey, c10::DispatchKey)
     0.10%  python   libmkl_def.so                                      [.] setup_twiddle
     0.10%  python   python3.11                                         [.] assemble
     0.10%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so  [.] CFLOAT_multiply_FMA3__AVX2
     0.10%  python   python3.11                                         [.] update_one_slot
     0.09%  python   python3.11                                         [.] tupleiter_dealloc
     0.09%  python   python3.11                                         [.] PyUnicode_New
     0.09%  python   liblal-8f7cb511.so.20.3.2                          [.] memmove@plt
     0.09%  python   libtorch_cpu.so                                    [.] at::TensorIteratorBase::compute_types(at::TensorIteratorConfig const&)
     0.09%  python   libcuda.so.610.57.04                               [.] 0x00000000002870b2
     0.09%  python   libc.so.6                                          [.] printf_positional
     0.09%  python   libc10_cuda.so                                     [.] c10::cuda::CUDACachingAllocator::Native::local_raw_delete(void*)
     0.09%  python   libcuda.so.610.57.04                               [.] 0x0000000000458e67
     0.09%  python   libtorch_python.so                                 [.] THPVariable_Wrap(at::TensorBase&&)
     0.09%  python   libstdc++.so.6.0.32                                [.] operator delete(void*)
     0.09%  python   python3.11                                         [.] PyEval_RestoreThread
     0.09%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so  [.] array_dealloc
     0.09%  python   libc10.so                                          [.] c10::AutogradState::get_tls_state()
     0.09%  python   python3.11                                         [.] insert_to_emptydict
     0.09%  python   libtorch_python.so                                 [.] torch::FunctionSignature::parse(_object*, _object*, _object*, _object**, std::vector<_object*, std::allocator<_object*> >&, bool)
     0.09%  python   libz.so.1.3.1                                      [.] inflate_fast
     0.09%  python   libtorch_cuda.so                                   [.] at::cuda::detail::(anonymous namespace)::_hasPrimaryContext(signed char)
     0.09%  python   python3.11                                         [.] _PyUnicode_FromUCS1
     0.09%  python   python3.11                                         [.] _PyCode_New
     0.09%  python   python3.11                                         [.] unicode_decode_utf8
     0.09%  python   libc10_cuda.so                                     [.] c10::cuda::MaybeSetDevice(signed char)
     0.09%  python   python3.11                                         [.] subtype_dealloc
     0.09%  python   python3.11                                         [.] property_descr_get
     0.08%  python   python3.11                                         [.] PyDict_GetItemWithError
     0.08%  python   python3.11                                         [.] method_get
     0.08%  python   python3.11                                         [.] bitwise_xor_rule
     0.08%  python   python3.11                                         [.] _PyLong_New
     0.08%  python   python3.11                                         [.] PyObject_Malloc
     0.08%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so  [.] FLOAT_multiply_FMA3__AVX2
     0.08%  python   libtorch_cpu.so                                    [.] std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::basic_string(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&&)
     0.08%  python   [unknown]                                          [k] 0xffffffff861d9bb7
     0.08%  python   libmkl_def.so                                      [.] compute_task_bwd
     0.08%  python   [unknown]                                          [k] 0xffffffff8626bd40
     0.07%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so  [.] discover_descriptor_from_pyint
     0.07%  python   libmkl_def.so                                      [.] mkl_dft_def_owns_cFftFwd_Fact8_32fc
     0.07%  python   libstdc++.so.6.0.32                                [.] std::_Hash_bytes(void const*, unsigned long, unsigned long)
     0.07%  python   libc.so.6                                          [.] pthread_once@GLIBC_2.2.5
     0.07%  python   python3.11                                         [.] _PyObject_Malloc
     0.07%  python   libc10.so                                          [.] c10::intrusive_ptr<c10::VariableVersion::VersionCounter, c10::detail::intrusive_target_default_null_type<c10::VariableVersion::VersionCounter> >::reset_not_null_(c10::VariableVersion::VersionCounter*)
     0.07%  python   libhdf5.so.1000.0.0                                [.] H5SL__insert_common
     0.07%  python   libc10_cuda.so                                     [.] c10::cuda::ExchangeDevice(signed char)
     0.07%  python   libcuda.so.610.57.04                               [.] 0x0000000001334d2c
     0.07%  python   libcuda.so.610.57.04                               [.] 0x0000000000432379
     0.07%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so  [.] PyArray_NewFromDescr_int
     0.07%  python   libcuda.so.610.57.04                               [.] 0x00000000002710d6
     0.07%  python   libc.so.6                                          [.] pthread_rwlock_rdlock@GLIBC_2.2.5
     0.07%  python   libhdf5.so.1000.0.0                                [.] H5_hash_string
     0.07%  python   libtorch_cpu.so                                    [.] c10::intrusive_ptr<c10::TensorImpl, c10::UndefinedTensorImpl>::reset_not_null_(c10::TensorImpl*)
     0.07%  python   libcuda.so.610.57.04                               [.] 0x000000000135f219
     0.07%  python   libcuda.so.610.57.04                               [.] 0x0000000000299503
     0.07%  python   libtorch_cpu.so                                    [.] at::TensorIteratorBase::is_contiguous() const
     0.07%  python   libtorch_python.so                                 [.] torch::utils::(anonymous namespace)::internal_new_from_data(c10::TensorOptions, c10::ScalarType, std::optional<c10::Device>, _object*, bool, bool, bool, bool)
     0.07%  python   [vdso]                                             [.] 0x0000000000000b2b
     0.07%  python   libc10.so                                          [.] c10::get_default_dtype_as_scalartype()
     0.07%  python   libcuda.so.610.57.04                               [.] 0x0000000000458ce4
     0.07%  python   libtorch_cpu.so                                    [.] at::_ops::as_strided::call(at::Tensor const&, c10::ArrayRef<c10::SymInt>, c10::ArrayRef<c10::SymInt>, std::optional<c10::SymInt>)
     0.07%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so  [.] _typenum_fromtypeobj
     0.07%  python   libz.so.1.3.1                                      [.] inflate_table
     0.07%  python   libtorch_python.so                                 [.] torch::check_has_torch_function(_object*, bool)
     0.07%  python   libtorch_cpu.so                                    [.] at::TensorIteratorBase::populate_operands(at::TensorIteratorConfig&)
     0.07%  python   libtorch_cpu.so                                    [.] at::native::fill_out(at::Tensor&, c10::Scalar const&)
     0.07%  python   python3.11                                         [.] meth_traverse
     0.07%  python   libstdc++.so.6.0.32                                [.] operator new(unsigned long)
     0.07%  python   libc10_cuda.so                                     [.] c10::cuda::CUDACachingAllocator::Native::(anonymous namespace)::Block::~Block()
     0.07%  python   libc10_cuda.so                                     [.] c10::cuda::getCurrentCUDAStream(signed char)
     0.07%  python   libc.so.6                                          [.] __errno_location
     0.07%  python   python3.11                                         [.] new_dict
     0.07%  python   libc10_cuda.so                                     [.] std::pair<std::_Rb_tree_iterator<c10::cuda::CUDACachingAllocator::Native::(anonymous namespace)::Block*>, bool> std::_Rb_tree<c10::cuda::CUDACachingAllocator::Native::(anonymous namespace)::Block*, c10::cuda::CUDACachingAllocator::Native::(anonymous namespace)::Block*, std::_Identity<c10::cuda::CUDACachingAllocator::Native::(anonymous namespace)::Block*>, bool (*)(c10::cuda::CUDACachingAllocator::Native::(anonymous namespace)::Block const*, c10::cuda::CUDACachingAllocator::Native::(anonymous namespace)::Block const*), std::allocator<c10::cuda::CUDACachingAllocator::Native::(anonymous namespace)::Block*> >::_M_insert_unique<c10::cuda::CUDACachingAllocator::Native::(anonymous namespace)::Block* const&>(c10::cuda::CUDACachingAllocator::Native::(anonymous namespace)::Block* const&)
     0.07%  python   libtorch_cpu.so                                    [.] c10::TensorImpl::set_sizes_and_strides(c10::ArrayRef<long>, c10::ArrayRef<long>, std::optional<long>) [clone .isra.0]
     0.07%  python   libcudart.so.13                                    [.] 0x0000000000026e3f
     0.07%  python   python3.11                                         [.] _PyObject_LookupSpecial
     0.07%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so  [.] signed_integers_is_known_scalar_types
     0.07%  python   python3.11                                         [.] dictresize
     0.07%  python   python3.11                                         [.] _PyFunction_Vectorcall
     0.07%  python   python3.11                                         [.] vgetargs1_impl
     0.07%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so  [.] nc_sqrtf
     0.06%  python   python3.11                                         [.] _PyObject_GC_New
     0.06%  python   python3.11                                         [.] unicode_hash
     0.06%  python   libc.so.6                                          [.] pthread_rwlock_wrlock@@GLIBC_2.34
     0.06%  python   python3.11                                         [.] tok_nextc
     0.06%  python   libtorch_python.so                                 [.] std::_Hashtable<void const*, std::pair<void const* const, pybind11::detail::instance*>, std::allocator<std::pair<void const* const, pybind11::detail::instance*> >, std::__detail::_Select1st, std::equal_to<void const*>, std::hash<void const*>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, false> >::erase(std::__detail::_Node_const_iterator<std::pair<void const* const, pybind11::detail::instance*>, false, false>) [clone .isra.0]
     0.06%  python   python3.11                                         [.] PyLong_FromLong
     0.06%  python   python3.11                                         [.] _PyUnicodeWriter_PrepareInternal
     0.06%  python   python3.11                                         [.] _Py_Dealloc
     0.06%  python   python3.11                                         [.] convertsimple
     0.06%  python   libtorch_cpu.so                                    [.] c10::DispatchKeySet::getDispatchTableIndexForDispatchKeySet() const
     0.06%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so  [.] binary_search_with_guess.part.0
     0.06%  python   libc.so.6                                          [.] __strcmp_avx2
     0.06%  python   python3.11                                         [.] primary_raw
     0.06%  python   python3.11                                         [.] vectorcall_method
     0.06%  python   [unknown]                                          [k] 0xffffffff8545ca57
     0.06%  python   python3.11                                         [.] compiler_nameop
     0.06%  python   python3.11                                         [.] rangeiter_next
     0.06%  python   python3.11                                         [.] object_isinstance
     0.05%  python   libtorch_cpu.so                                    [.] c10::impl::OperatorEntry::updateDispatchTableEntry_(c10::Dispatcher const&, c10::DispatchKey)
     0.05%  python   python3.11                                         [.] disjunction_rule
     0.05%  python   libcuda.so.610.57.04                               [.] 0x00000000003f06da
     0.05%  python   python3.11                                         [.] _PyObject_Free
     0.05%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so  [.] discover_dtype_from_pyobject
     0.05%  python   python3.11                                         [.] member_get
     0.05%  python   libc.so.6                                          [.] __gconv_transform_utf8_internal
     0.05%  python   libcuda.so.610.57.04                               [.] 0x000000000041b19b
     0.05%  python   [unknown]                                          [k] 0xffffffff85447f50
     0.05%  python   libc10.so                                          [.] __tls_get_addr@plt
     0.05%  python   libc.so.6                                          [.] pthread_getspecific@@GLIBC_2.34
     0.05%  python   python3.11                                         [.] PyLong_AsLongLong
     0.05%  python   libmkl_def.so                                      [.] mkl_dft_def_owns_cFftFwd_Fact4_32fc
     0.05%  python   libc10.so                                          [.] c10::impl::ExcludeDispatchKeyGuard::ExcludeDispatchKeyGuard(c10::DispatchKeySet)
     0.05%  python   libtorch_cpu.so                                    [.] c10::impl::OperatorEntry::getKernelForDispatchKey(c10::DispatchKey) const
     0.05%  python   libmkl_def.so                                      [.] mkl_dft_def_owns_cFftInv_Fact8_32fc
     0.05%  python   python3.11                                         [.] code_dealloc
     0.05%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so  [.] _npy_parse_arguments
     0.05%  python   python3.11                                         [.] set_traverse
     0.05%  python   python3.11                                         [.] method_vectorcall_VARARGS_KEYWORDS
     0.05%  python   libtorch_cpu.so                                    [.] torch::ADInplaceOrView::(anonymous namespace)::slice_Tensor(c10::DispatchKeySet, at::Tensor const&, long, std::optional<c10::SymInt>, std::optional<c10::SymInt>, c10::SymInt)
     0.05%  python   libc.so.6                                          [.] __parse_one_specmb
     0.05%  python   libcudart.so.13                                    [.] pthread_once@plt
     0.05%  python   libc10.so                                          [.] c10::TensorImpl::TensorImpl(c10::Storage&&, c10::DispatchKeySet, caffe2::TypeMeta)
     0.05%  python   libhdf5.so.1000.0.0                                [.] H5SL_first
     0.05%  python   libcuda.so.610.57.04                               [.] 0x00000000002710d9
     0.05%  python   libc10_cuda.so                                     [.] c10::cuda::CUDACachingAllocator::Native::DeviceCachingAllocator::try_merge_blocks(c10::cuda::CUDACachingAllocator::Native::(anonymous namespace)::Block*, c10::cuda::CUDACachingAllocator::Native::(anonymous namespace)::Block*, c10::cuda::CUDACachingAllocator::Native::(anonymous namespace)::BlockPool&) [clone .isra.0]
     0.05%  python   libtorch_cpu.so                                    [.] at::getStepCallbacksUnlessEmpty(at::RecordScope)
     0.05%  python   libcuda.so.610.57.04                               [.] 0x00000000002710bf
     0.05%  python   libcuda.so.610.57.04                               [.] 0x0000000000287087
     0.05%  python   [vdso]                                             [.] 0x0000000000000b7f
     0.05%  python   libcuda.so.610.57.04                               [.] 0x0000000000287062
     0.05%  python   libhdf5.so.1000.0.0                                [.] H5C__load_entry
     0.05%  python   libc10.so                                          [.] c10::SymInt::guard_int(char const*, long) const
     0.05%  python   python3.11                                         [.] PyThread_tss_get
     0.05%  python   libcuda.so.610.57.04                               [.] 0x00000000002c74dc
     0.05%  python   python3.11                                         [.] PyType_GenericAlloc
     0.05%  python   python3.11                                         [.] _PyErr_NormalizeException
     0.05%  python   libtorch_cuda.so                                   [.] at::cuda::getCUDADeviceAllocator()
     0.05%  python   libtorch_cpu.so                                    [.] torch::jit::tracer::getTracingState()
     0.05%  python   libtorch_cpu.so                                    [.] at::get_overlap_status(c10::TensorImpl const*, c10::TensorImpl const*)
     0.05%  python   libcuda.so.610.57.04                               [.] 0x000000000035c4ae
     0.05%  python   libhdf5.so.1000.0.0                                [.] H5SL_search
     0.05%  python   libtorch_cpu.so                                    [.] at::_ops::_to_copy::call(at::Tensor const&, std::optional<c10::ScalarType>, std::optional<c10::Layout>, std::optional<c10::Device>, std::optional<bool>, bool, std::optional<c10::MemoryFormat>)
     0.05%  python   libtorch_cpu.so                                    [.] c10::intrusive_ptr<c10::StorageImpl, c10::detail::intrusive_target_default_null_type<c10::StorageImpl> >::reset_not_null_(c10::StorageImpl*)
     0.05%  python   libcudart.so.13                                    [.] 0x000000000003dd03
     0.05%  python   libtorch_cuda.so                                   [.] at::native::copy_device_to_device(at::TensorIterator&, bool, bool)
     0.05%  python   libtorch_cpu.so                                    [.] at::globalContext()
     0.05%  python   libc10.so                                          [.] c10::InferenceMode::is_enabled()
     0.05%  python   libcuda.so.610.57.04                               [.] 0x000000000028706d
     0.05%  python   libtorch_cpu.so                                    [.] at::_ops::copy_::call(at::Tensor&, at::Tensor const&, bool)
     0.05%  python   libtorch_python.so                                 [.] THPDevice_type(THPDevice*, _object*)
     0.05%  python   python3.11                                         [.] PyContextVar_Get
     0.05%  python   libcuda.so.610.57.04                               [.] 0x00000000002c7496
     0.05%  python   libc10_cuda.so                                     [.] c10::cuda::CUDACachingAllocator::Native::(anonymous namespace)::BlockComparatorAddress(c10::cuda::CUDACachingAllocator::Native::(anonymous namespace)::Block const*, c10::cuda::CUDACachingAllocator::Native::(anonymous namespace)::Block const*)
     0.05%  python   libtorch_python.so                                 [.] torch::utils::store_scalar(void*, c10::ScalarType, _object*)
     0.05%  python   libc10_cuda.so                                     [.] c10::cuda::get_p2p_access(signed char, signed char)
     0.05%  python   python3.11                                         [.] builtin_issubclass
     0.05%  python   libtorch_cpu.so                                    [.] at::native::view(at::Tensor const&, c10::ArrayRef<long>)
     0.05%  python   _objects.cpython-311-x86_64-linux-gnu.so           [.] __pyx_pw_4h5py_8_objects_9with_phil_1wrapper
     0.05%  python   libcudart.so.13                                    [.] cudaMemcpyAsync
     0.05%  python   [vdso]                                             [.] 0x0000000000000af7
     0.05%  python   libcuda.so.610.57.04                               [.] cuCtxGetDevice_v2
     0.05%  python   python3.11                                         [.] PyImport_Import
     0.05%  python   libcufile.so.0                                     [.] operator delete(void*, unsigned long)
     0.05%  python   libtorch_cpu.so                                    [.] torch::autograd::DifferentiableViewMeta::DifferentiableViewMeta(c10::TensorImpl*, std::optional<torch::autograd::ViewInfo>, std::optional<torch::autograd::ViewInfo>, bool, torch::autograd::CreationMeta)
     0.05%  python   libtorch_cuda.so                                   [.] void at::native::gpu_reduce_kernel<c10::complex<float>, c10::complex<float>, 4, 4, at::native::func_wrapper_t<c10::complex<float>, __nv_hdl_wrapper_t<false, true, false, __nv_dl_tag<void (at::native::sum_functor<c10::complex<float>, c10::complex<float>, c10::complex<float> >::*)(at::TensorIterator&), &at::native::sum_functor<c10::complex<float>, c10::complex<float>, c10::complex<float> >::operator(), 1u>, c10::complex<float> (c10::complex<float>, c10::complex<float>)> >, double>(at::TensorIterator&, at::native::func_wrapper_t<c10::complex<float>, __nv_hdl_wrapper_t<false, true, false, __nv_dl_tag<void (at::native::sum_functor<c10::complex<float>, c10::complex<float>, c10::complex<float> >::*)(at::TensorIterator&), &at::native::sum_functor<c10::complex<float>, c10::complex<float>, c10::complex<float> >::operator(), 1u>, c10::complex<float> (c10::complex<float>, c10::complex<float>)> > const&, double, at::native::AccumulationBuffer*, long) [clone .isra.0]
     0.05%  python   libtorch_python.so                                 [.] torch::FunctionParameter::_check(_object*, std::vector<_object*, std::allocator<_object*> >&, int, pybind11::object*)
     0.05%  python   libtorch_cpu.so                                    [.] at::TensorIteratorConfig::is_tensor_const(unsigned long)
     0.05%  python   python3.11                                         [.] dict_subscript
     0.05%  python   python3.11                                         [.] PyEval_AcquireThread
     0.05%  python   libhdf5.so.1000.0.0                                [.] H5FL_reg_malloc
     0.05%  python   libcuda.so.610.57.04                               [.] 0x00000000001c46c9
