-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                  cudaDeviceSynchronize        22.44%       7.096ms        22.44%       7.096ms       3.548ms       0.000us         0.00%       0.000us       0.000us             2  
                                       cudaLaunchKernel        20.47%       6.474ms        20.47%       6.474ms       6.435us       0.000us         0.00%       0.000us       0.000us          1006  
                                              aten::mul        12.45%       3.937ms        19.87%       6.284ms      16.937us       3.827ms        31.37%       3.827ms      10.316us           371  
                                Activity Buffer Request         9.47%       2.994ms         9.47%       2.994ms       2.994ms       0.576us         0.00%       0.576us       0.576us             1  
                                              aten::add         5.39%       1.703ms         8.54%       2.701ms      16.879us       2.160ms        17.70%       2.160ms      13.500us           160  
                                      aten::bitwise_not         2.44%     770.360us         3.79%       1.199ms      15.986us      70.496us         0.58%      70.496us       0.940us            75  
                                               aten::eq         2.20%     696.042us         3.53%       1.118ms      16.437us      96.450us         0.79%      96.450us       1.418us            68  
                                              aten::abs         2.08%     657.200us         7.51%       2.376ms      24.750us      60.545us         0.50%     121.090us       1.261us            96  
                                               aten::ne         1.84%     581.089us         2.74%     864.976us      18.020us      68.162us         0.56%      68.162us       1.420us            48  
                                           aten::select         1.82%     576.356us         2.16%     683.128us       7.116us       0.000us         0.00%       0.000us       0.000us            96  
                                         aten::isfinite         1.43%     451.981us        13.38%       4.232ms      88.174us       0.000us         0.00%     243.267us       5.068us            48  
                                              aten::sub         1.28%     405.230us         2.04%     645.062us      17.918us     378.852us         3.11%     378.852us      10.524us            36  
                                              aten::div         1.15%     364.632us         1.80%     570.660us      17.293us     138.877us         1.14%     138.877us       4.208us            33  
                                          aten::addcmul         1.06%     334.514us         1.67%     529.212us      17.640us       2.028ms        16.62%       2.028ms      67.607us            30  
                                            aten::empty         1.05%     331.294us         1.05%     331.294us       5.259us       0.000us         0.00%       0.000us       0.000us            63  
                                              aten::pow         0.90%     285.188us         1.35%     426.046us      26.628us       1.336ms        10.95%       1.336ms      83.473us            16  
                                          aten::nonzero         0.90%     283.350us         1.87%     592.790us      98.798us      33.473us         0.27%      33.473us       5.579us             6  
                                           aten::expand         0.83%     263.181us         1.01%     319.552us       3.631us       0.000us         0.00%       0.000us       0.000us            88  
                                          aten::resize_         0.76%     240.722us         0.76%     240.722us       3.647us       0.000us         0.00%       0.000us       0.000us            66  
                                        cudaMemcpyAsync         0.72%     227.172us         0.72%     227.172us       9.465us       0.000us         0.00%       0.000us       0.000us            24  
                                               aten::gt         0.67%     211.027us         0.99%     312.699us      22.336us      19.966us         0.16%      19.966us       1.426us            14  
                                       aten::as_strided         0.67%     210.476us         0.67%     210.476us       0.970us       0.000us         0.00%       0.000us       0.000us           217  
                                    aten::empty_strided         0.65%     204.084us         0.65%     204.084us       6.378us       0.000us         0.00%       0.000us       0.000us            32  
                                              aten::cat         0.64%     202.956us         1.23%     388.446us      35.313us     308.067us         2.52%     308.067us      28.006us            11  
                                            aten::where         0.50%     157.093us         1.11%     349.801us      31.800us     451.238us         3.70%     451.238us      41.022us            11  
                                            aten::copy_         0.49%     153.693us        10.50%       3.321ms     158.123us     193.539us         1.59%     194.115us       9.244us            21  
                                         aten::_to_copy         0.44%     138.587us        11.36%       3.591ms     170.988us       0.000us         0.00%     194.115us       9.244us            21  
                                      aten::bitwise_and         0.36%     114.457us         0.54%     171.605us      19.067us      10.977us         0.09%      10.977us       1.220us             9  
                                               aten::to         0.29%      93.051us        11.65%       3.684ms      40.481us       0.000us         0.00%     194.115us       2.133us            91  
                                            aten::clamp         0.28%      90.090us         0.42%     134.313us      22.385us       8.928us         0.07%       8.928us       1.488us             6  
                                        aten::unsqueeze         0.27%      84.928us         0.32%     101.691us       5.352us       0.000us         0.00%       0.000us       0.000us            19  
                                     aten::broadcast_to         0.27%      83.937us         0.85%     269.217us       5.609us       0.000us         0.00%       0.000us       0.000us            48  
                                            aten::stack         0.25%      80.439us         1.38%     436.956us      48.551us       0.000us         0.00%      13.664us       1.518us             9  
                                            aten::fill_         0.24%      74.640us         0.51%     160.041us      13.337us     120.736us         0.99%     120.736us      10.061us            12  
                                  cudaStreamSynchronize         0.24%      74.423us         0.24%      74.423us       3.917us       0.000us         0.00%       0.000us       0.000us            19  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 31.621ms
Self CUDA time total: 12.201ms
